time,anom
1950-03-01,0.9340676662870303
1950-04-01,0.4337441335266992
1950-05-01,-0.15534873212083866
1950-06-01,-0.7447406930904042
1950-07-01,-1.2329717220166831
1950-08-01,-1.5467015758540807
1950-09-01,-1.7293373068883504
1950-10-01,-1.8515189164577788
1950-11-01,-1.9959865351578898
1950-12-01,-2.168124113673129
1951-01-01,-2.378561350296753
1951-02-01,-2.6167955490042645
1951-03-01,-2.834957635051346
1951-04-01,-2.974668278939189
1951-05-01,-3.0247641284912787
1951-06-01,-2.9964162778978882
1951-07-01,-2.857667320502344
1951-08-01,-2.5160684805532205
1951-09-01,-2.019189613168668
1951-10-01,-1.4541083010750668
1951-11-01,-0.9121601928788792
1951-12-01,-0.4264976015708868
1952-01-01,-0.022979270079160823
1952-02-01,0.2659795893004713
1952-03-01,0.4660474902991491
1952-04-01,0.6135464337032239
1952-05-01,0.7481574744992882
1952-06-01,0.8629527112718366
1952-07-01,0.9532454538817277
1952-08-01,1.0618693785537705
1952-09-01,1.1849567492575162
1952-10-01,1.257422661577305
1952-11-01,1.2265408083816602
1952-12-01,1.1041040796147925
1953-01-01,0.9448321796580524
1953-02-01,0.7689141667972071
1953-03-01,0.5751305699638157
1953-04-01,0.34209961215659607
1953-05-01,0.08832367386172042
1953-06-01,-0.18773273444555963
1953-07-01,-0.4430787556304807
1953-08-01,-0.5651177863061001
1953-09-01,-0.5623112490454147
1953-10-01,-0.5240255002580376
1953-11-01,-0.583979107748584
1953-12-01,-0.6909511094259114
1954-01-01,-0.7442826205929277
1954-02-01,-0.8100188736494106
1954-03-01,-0.960007921726131
1954-04-01,-1.185004452962848
1954-05-01,-1.3767998072523007
1954-06-01,-1.4517565349574977
1954-07-01,-1.4066785954440693
1954-08-01,-1.2356402558624613
1954-09-01,-0.9704039685405105
1954-10-01,-0.6544612059569085
1954-11-01,-0.36372630928925176
1954-12-01,-0.11515690634190416
1955-01-01,0.09755142851075031
1955-02-01,0.2650699403513623
1955-03-01,0.3951725165588786
1955-04-01,0.48630680005022003
1955-05-01,0.583624200002756
1955-06-01,0.7138461705940339
1955-07-01,0.8689261794590758
1955-08-01,1.0238258036025034
1955-09-01,1.148898042314188
1955-10-01,1.213990794096181
1955-11-01,1.1937933273654362
1955-12-01,1.074508041539384
1956-01-01,0.9401176950338849
1956-02-01,0.8117251407789112
1956-03-01,0.6957012822464476
1956-04-01,0.59093888850868
1956-05-01,0.5189473192010597
1956-06-01,0.5163493769247699
1956-07-01,0.53828725452196
1956-08-01,0.5901258659397092
1956-09-01,0.6362684548529091
1956-10-01,0.6558766559917591
1956-11-01,0.6075955619607628
1956-12-01,0.4751255235542722
1957-01-01,0.3185310676960533
1957-02-01,0.1610065798904531
1957-03-01,0.00937259433290194
1957-04-01,-0.23439240948311144
1957-05-01,-0.5116936911612591
1957-06-01,-0.7363447479007874
1957-07-01,-0.873737125432033
1957-08-01,-0.9330533462961496
1957-09-01,-0.9583256104242667
1957-10-01,-0.9255464766143895
1957-11-01,-0.8758716815451706
1957-12-01,-0.8376116951894778
1958-01-01,-0.8146832335919321
1958-02-01,-0.816050027533605
1958-03-01,-0.8562723894944426
1958-04-01,-0.9661551806417125
1958-05-01,-1.1266502560131595
1958-06-01,-1.2362715334558334
1958-07-01,-1.1992277878227
1958-08-01,-1.0640752772808817
1958-09-01,-0.8883258688271004
1958-10-01,-0.6987303220735418
1958-11-01,-0.4549022793015638
1958-12-01,-0.20369102903070413
1959-01-01,0.017488429343708606
1959-02-01,0.18909987618097546
1959-03-01,0.34291002028912604
1959-04-01,0.4727296657540177
1959-05-01,0.6107553158428575
1959-06-01,0.7691074423954198
1959-07-01,0.9606203650787665
1959-08-01,1.1401774035856924
1959-09-01,1.2611898197860054
1959-10-01,1.2943929655920066
1959-11-01,1.2430267320003072
1959-12-01,1.1407135523480865
1960-01-01,1.0267649729855275
1960-02-01,0.9206266213888092
1960-03-01,0.8171540731198981
1960-04-01,0.7075895666381781
1960-05-01,0.5863673217822966
1960-06-01,0.48900087624183425
1960-07-01,0.44054154393866796
1960-08-01,0.4108419277503259
1960-09-01,0.38087123000198986
1960-10-01,0.33518751956422105
1960-11-01,0.296709815791651
1960-12-01,0.2210426149996382
1961-01-01,0.10344785125669394
1961-02-01,-0.07948878109018172
1961-03-01,-0.29818954280279186
1961-04-01,-0.5765600114854976
1961-05-01,-0.8646703680989086
1961-06-01,-1.1359931917557067
1961-07-01,-1.3208560829729497
1961-08-01,-1.3952792080126695
1961-09-01,-1.3961858385460115
1961-10-01,-1.3690924133526572
1961-11-01,-1.3135973737914526
1961-12-01,-1.1890608593269658
1962-01-01,-1.0012049305553745
1962-02-01,-0.8017145099127679
1962-03-01,-0.6914362608274706
1962-04-01,-0.7017000079688861
1962-05-01,-0.7986118636305193
1962-06-01,-0.9230893648033908
1962-07-01,-0.9914032991239274
1962-08-01,-0.9839122386084872
1962-09-01,-0.8708404472572463
1962-10-01,-0.6811514950867448
1962-11-01,-0.4606932209943982
1962-12-01,-0.26064613248080803
1963-01-01,-0.09017740397785327
1963-02-01,0.04890818821506807
1963-03-01,0.17923766253109127
1963-04-01,0.27196558825929174
1963-05-01,0.35647538114425714
1963-06-01,0.46455588975263734
1963-07-01,0.5614370500579801
1963-08-01,0.6559600672727607
1963-09-01,0.7282175904206033
1963-10-01,0.8006683911981037
1963-11-01,0.8220987191309123
1963-12-01,0.7761074584419619
1964-01-01,0.7030677959527445
1964-02-01,0.6186523597851507
1964-03-01,0.5546019841988054
1964-04-01,0.5172897948824774
