time,anom
1950-03-01,1.1335554355921964
1950-04-01,0.5586144706324655
1950-05-01,-0.15742102498637323
1950-06-01,-0.9445053376325797
1950-07-01,-1.6727491251497153
1950-08-01,-2.196264508201619
1950-09-01,-2.5118971088867057
1950-10-01,-2.6989600732261487
1950-11-01,-2.893905419096163
1950-12-01,-3.1569482473924175
1951-01-01,-3.4825090711889892
1951-02-01,-3.820550808255087
1951-03-01,-4.063581033653551
1951-04-01,-4.158739294291672
1951-05-01,-4.099281240819376
1951-06-01,-3.9227300979457795
1951-07-01,-3.615284827030527
1951-08-01,-3.1000322452418736
1951-09-01,-2.413226316436114
1951-10-01,-1.6168082931788526
1951-11-01,-0.8247437936171202
1951-12-01,-0.13071953333960096
1952-01-01,0.3944242068208605
1952-02-01,0.7274128086181951
1952-03-01,0.9549382205239544
1952-04-01,1.1420577513908359
1952-05-01,1.3552376795569347
1952-06-01,1.5728835323090766
1952-07-01,1.7701112002430364
1952-08-01,1.9416158647380968
1952-09-01,2.0724921166649053
1952-10-01,2.122720272641955
1952-11-01,2.066669755917237
1952-12-01,1.9046521884406051
1953-01-01,1.7042081036576728
1953-02-01,1.484711519579264
1953-03-01,1.2857918250299878
1953-04-01,1.0850405637213025
1953-05-01,0.9019871434247761
1953-06-01,0.680357706844236
1953-07-01,0.3984519737061589
1953-08-01,0.15993581965480055
1953-09-01,-0.007560174941155869
1953-10-01,-0.16456861274068993
1953-11-01,-0.4439420807608663
1953-12-01,-0.8246681854232089
1954-01-01,-1.1904749434316149
1954-02-01,-1.624949758340173
1954-03-01,-2.1876297513172376
1954-04-01,-2.807925489302111
1954-05-01,-3.2760157429577377
1954-06-01,-3.4509852575496147
1954-07-01,-3.3793933784160166
1954-08-01,-3.1219637061462664
1954-09-01,-2.743601230772979
1954-10-01,-2.249777525907207
1954-11-01,-1.6562957630488502
1954-12-01,-0.9968237788603839
1955-01-01,-0.34146870381847805
1955-02-01,0.182477714568833
1955-03-01,0.5839370285786281
1955-04-01,0.8800155652122648
1955-05-01,1.1695334943433338
1955-06-01,1.4651404830773025
1955-07-01,1.754730437681392
1955-08-01,1.9979081864571182
1955-09-01,2.160312859617734
1955-10-01,2.2168372571413735
1955-11-01,2.1659971166871217
1955-12-01,2.003875512256601
1956-01-01,1.8118924910354484
1956-02-01,1.6107075235989943
1956-03-01,1.4529525179541334
1956-04-01,1.35297488409435
1956-05-01,1.3366520541493483
1956-06-01,1.4011684405844622
1956-07-01,1.4749276995082863
1956-08-01,1.531599504795377
1956-09-01,1.537391864931995
1956-10-01,1.4868572990720221
1956-11-01,1.3590257277610849
1956-12-01,1.1243756566136913
1957-01-01,0.8533373702071287
1957-02-01,0.5560052011347901
1957-03-01,0.2441740007601846
1957-04-01,-0.2211884639987408
1957-05-01,-0.7880119815364447
1957-06-01,-1.3299728470214138
1957-07-01,-1.7464889461937656
1957-08-01,-1.9996119097501694
1957-09-01,-2.153919684608366
1957-10-01,-2.222072613360698
1957-11-01,-2.2750510179257475
1957-12-01,-2.3349335768331834
1958-01-01,-2.365389895034626
1958-02-01,-2.375370826672423
1958-03-01,-2.3885465178541936
1958-04-01,-2.475332539824066
1958-05-01,-2.60207054235212
1958-06-01,-2.6493308538212923
1958-07-01,-2.493550052835687
1958-08-01,-2.1799543605788045
1958-09-01,-1.7776305981582539
1958-10-01,-1.3139341202884272
1958-11-01,-0.7671813835101501
1958-12-01,-0.23023036780317696
1959-01-01,0.2200910506408474
1959-02-01,0.5314941128739589
1959-03-01,0.7838464324093763
1959-04-01,1.0074632062701632
1959-05-01,1.2747143890233232
1959-06-01,1.5676022822981384
1959-07-01,1.8585108660327627
1959-08-01,2.089764988402493
1959-09-01,2.2260201602717893
1959-10-01,2.2483935211532944
1959-11-01,2.1695983475685168
1959-12-01,2.0015077025107346
1960-01-01,1.808131333146368
1960-02-01,1.6114085944170924
1960-03-01,1.4579977795438832
1960-04-01,1.3450958469312262
1960-05-01,1.2737108717667514
1960-06-01,1.2361417514141937
1960-07-01,1.208401671466773
1960-08-01,1.1350378132434809
1960-09-01,1.014473379521475
1960-10-01,0.8623852213888412
1960-11-01,0.717887057486538
1960-12-01,0.5172780010717316
1961-01-01,0.25142278460563955
1961-02-01,-0.1443136674695206
1961-03-01,-0.6541443741075182
1961-04-01,-1.3038418402297236
1961-05-01,-1.9645634026844405
1961-06-01,-2.513459992465768
1961-07-01,-2.8469553556357936
1961-08-01,-2.9660873972905955
1961-09-01,-2.9702933787440444
1961-10-01,-2.935912379114439
1961-11-01,-2.8545895491706568
1961-12-01,-2.621831384774204
1962-01-01,-2.1916519673819557
1962-02-01,-1.67071043743947
1962-03-01,-1.2271743894175557
1962-04-01,-0.9806346007190191
1962-05-01,-0.8840109316958001
1962-06-01,-0.8850085576925343
1962-07-01,-0.8709546942564602
1962-08-01,-0.7947668030505994
1962-09-01,-0.6125038996635391
1962-10-01,-0.3322969194663017
1962-11-01,-0.006331175922439296
1962-12-01,0.29147774477999633
1963-01-01,0.5311662017645228
1963-02-01,0.6933749641874272
1963-03-01,0.8501736855533769
1963-04-01,1.0073146938165465
1963-05-01,1.2246390302429238
1963-06-01,1.4865352113168686
1963-07-01,1.7343543894178772
1963-08-01,1.9265917032914122
1963-09-01,2.035261039713506
1963-10-01,2.0658523657332863
1963-11-01,2.003158785078142
1963-12-01,1.8394208360246367
1964-01-01,1.6429968536718842
1964-02-01,1.4348725585278028
1964-03-01,1.283229558345102
1964-04-01,1.198602578760962
1964-05-01,1.2203215196056665
1964-06-01,1.3083490300359688
