,anom
1950-02-01,-3.5304382146604723
1950-03-01,-5.206468227890958
1950-04-01,-7.371891354753723
1950-05-01,-9.417325740825303
1950-06-01,-10.538258898374298
1950-07-01,-9.97554680587545
1950-08-01,-7.406289190057628
1950-09-01,-1.9920881401033161
1950-10-01,4.883999736996457
1950-11-01,11.216588212978792
1950-12-01,16.261254721161222
1951-01-01,18.4494143818409
1951-02-01,18.959121514813184
1951-03-01,17.284553833045337
1951-04-01,16.62269605041972
1951-05-01,18.361280516821655
1951-06-01,21.484743130359448
1951-07-01,28.24626490652125
1951-08-01,39.054857161855544
1951-09-01,50.81445920177468
1951-10-01,59.15970208637589
1951-11-01,63.961720598953974
1951-12-01,65.34231778281814
1952-01-01,61.863354228157554
1952-02-01,57.46056918983306
1952-03-01,51.01622841324135
1952-04-01,44.27970876275867
1952-05-01,40.588357143146176
1952-06-01,38.282913274937
1952-07-01,36.04778070403908
1952-08-01,36.13516179393019
1952-09-01,39.05831053617498
1952-10-01,40.33114892292442
1952-11-01,37.63995541559623
1952-12-01,35.29176661762229
1953-01-01,32.2986035679319
1953-02-01,28.212716349121
1953-03-01,24.40390686582995
1953-04-01,21.049066786695775
1953-05-01,16.58118466908249
1953-06-01,14.551003182184616
1953-07-01,13.644112911003043
1953-08-01,13.874464960906494
1953-09-01,18.873322732773065
1953-10-01,23.285321596903817
1953-11-01,23.899527299732824
1953-12-01,24.106721648756743
1954-01-01,24.199046843225382
1954-02-01,24.042707685542837
1954-03-01,21.304684088806297
1954-04-01,18.43296221094205
1954-05-01,17.428469272060394
1954-06-01,19.533877937797065
1954-07-01,26.144540477908063
1954-08-01,35.99330332562074
1954-09-01,47.97752789013304
1954-10-01,57.58019582836037
1954-11-01,63.57614128573823
1954-12-01,64.50519304384883
1955-01-01,64.40603410236551
1955-02-01,61.04460884578711
1955-03-01,55.54026977164695
1955-04-01,48.37552900661819
1955-05-01,43.980307083606824
1955-06-01,41.4307486998643
1955-07-01,41.36885640785861
1955-08-01,42.447043738873475
1955-09-01,43.13088439787728
1955-10-01,44.16277374506294
1955-11-01,42.79187017786581
1955-12-01,38.98574422504117
1956-01-01,34.81087188278792
1956-02-01,33.29651511694544
1956-03-01,29.643889751620577
1956-04-01,23.8111664908552
1956-05-01,21.274722572659496
1956-06-01,19.688576651612024
1956-07-01,18.41806681521192
1956-08-01,19.429480958051318
1956-09-01,20.107690212364925
1956-10-01,21.532278946848894
1956-11-01,21.619833792620508
1956-12-01,21.185202090579818
1957-01-01,18.340250663244785
1957-02-01,17.29587494610572
1957-03-01,15.909747339182855
1957-04-01,12.983933313857808
1957-05-01,8.98048507708613
1957-06-01,7.533370908600774
1957-07-01,8.960471132181288
1957-08-01,12.117635568468916
1957-09-01,18.947422477412825
1957-10-01,26.30341358607707
1957-11-01,32.26359590280905
1957-12-01,36.083649601893384
1958-01-01,37.461866145235085
1958-02-01,36.58604925898566
1958-03-01,35.678228788811914
1958-04-01,33.87301719943344
1958-05-01,31.856481985682294
1958-06-01,30.80933604695287
1958-07-01,33.65301463949059
1958-08-01,40.153278871669215
1958-09-01,46.581871157761206
1958-10-01,52.612460819210355
1958-11-01,58.35655417633093
1958-12-01,60.35650624668115
1959-01-01,59.84579990911921
1959-02-01,56.72699993495226
1959-03-01,53.033741165133144
1959-04-01,48.24003527234081
1959-05-01,42.381914446175365
1959-06-01,38.977233620505956
1959-07-01,37.626255152759036
1959-08-01,37.721662375999614
1959-09-01,37.774368525432926
1959-10-01,37.56977809191945
1959-11-01,37.710709031831115
1959-12-01,35.77164067557202
1960-01-01,34.513876951067395
1960-02-01,31.638411089357206
1960-03-01,26.898995953860535
1960-04-01,22.710954379160498
1960-05-01,18.977306082251225
1960-06-01,15.645576203640276
1960-07-01,14.627941646699924
1960-08-01,15.288381182358773
1960-09-01,16.41880257937578
1960-10-01,18.72468313958004
1960-11-01,22.130442655394265
1960-12-01,22.967078994818305
1961-01-01,21.449280418341512
1961-02-01,19.37618963456272
1961-03-01,15.364211749415988
1961-04-01,11.45502108576174
1961-05-01,8.386198085628799
1961-06-01,7.33104214808503
1961-07-01,9.524276775616118
1961-08-01,16.840990890763923
1961-09-01,26.72236200003771
1961-10-01,36.433979512174034
1961-11-01,44.83525648020652
1961-12-01,50.33031135268959
1962-01-01,52.27769017788362
1962-02-01,51.336040716993445
1962-03-01,50.21925268251994
1962-04-01,44.77518363977867
1962-05-01,41.158377466411366
1962-06-01,39.04617749352696
1962-07-01,38.76660816814967
1962-08-01,40.79314606499127
1962-09-01,45.4550772720715
1962-10-01,48.99857861180715
1962-11-01,51.2611410129474
1962-12-01,51.0500173714385
1963-01-01,47.78563043529038
1963-02-01,46.23349704354111
1963-03-01,44.07700338600971
1963-04-01,40.22132637721882
1963-05-01,36.13547282827949
1963-06-01,33.317523657301415
1963-07-01,32.98179678029133
1963-08-01,31.079671301428366
1963-09-01,31.705434678199925
1963-10-01,32.87113843501126
1963-11-01,33.034988309306364
1963-12-01,31.681615780577385
1964-01-01,29.36059088108268
1964-02-01,27.422100161362845
1964-03-01,24.298974762233538
1964-04-01,22.310743881148586
1964-05-01,20.637365320384816
1964-06-01,18.89726392987817
1964-07-01,18.160493809723235
1964-08-01,18.02235658416905
1964-09-01,20.438873608577495
1964-10-01,23.542378743538794
1964-11-01,25.974371850321177
1964-12-01,26.012036266504765
1965-01-01,25.801671017186205
1965-02-01,24.83050805487179
1965-03-01,23.20295904774433
1965-04-01,21.088546164438302
1965-05-01,18.750898780405137
1965-06-01,17.93653524187539
1965-07-01,19.559061122637534
1965-08-01,25.825509802831323
1965-09-01,34.987552271194104
1965-10-01,42.91883444141385
1965-11-01,49.3720790049882
1965-12-01,53.99016531732065
1966-01-01,54.33983341897524
1966-02-01,53.391647960297696
1966-03-01,51.70886180060494
1966-04-01,49.4012063696566
1966-05-01,45.65110533386733
1966-06-01,42.94379356484545
1966-07-01,42.32696873101338
1966-08-01,43.42624582260973
1966-09-01,43.9751318356081
1966-10-01,44.205447645209404
1966-11-01,44.176287569151306
1966-12-01,44.45844388945195
1967-01-01,41.568572600299895
1967-02-01,36.78875142580706
1967-03-01,34.40227984584922
1967-04-01,32.14056497722086
1967-05-01,28.891056769624345
1967-06-01,25.258128416638513
1967-07-01,23.941211850214255
1967-08-01,24.22090249277358
1967-09-01,23.672937687173825
1967-10-01,23.140767966919483
1967-11-01,24.711450873235798
1967-12-01,23.347306363631404
1968-01-01,20.819659430316854
1968-02-01,19.078737923052582
1968-03-01,16.881234142992415
1968-04-01,14.011025942465814
1968-05-01,11.093263170058012
1968-06-01,9.201893037194987
1968-07-01,9.585927927827312
1968-08-01,11.772677405251596
1968-09-01,18.42214589943052
1968-10-01,26.50811151135665
1968-11-01,35.0616892911604
1968-12-01,40.007966974286234
1969-01-01,41.36315478487695
1969-02-01,40.74982981239021
1969-03-01,40.64222072842325
1969-04-01,38.829977183765266
1969-05-01,35.55523151707167
1969-06-01,33.47663719004983
1969-07-01,33.346078835368466
1969-08-01,35.37991993601487
1969-09-01,37.85441216987566
1969-10-01,43.62324069817707
1969-11-01,48.269107916232585
1969-12-01,48.88625049101278
1970-01-01,47.698805210345405
1970-02-01,45.99471584343957
1970-03-01,43.96644380290412
1970-04-01,40.75275091221606
1970-05-01,37.15878246027466
1970-06-01,34.76776403355384
1970-07-01,32.838312288576184
1970-08-01,33.117439961915494
1970-09-01,33.52110457405069
1970-10-01,33.70092575124804
1970-11-01,33.72367264507016
1970-12-01,32.46915119233813
1971-01-01,29.411830652697507
1971-02-01,27.58842354315601
1971-03-01,24.952314000917912
1971-04-01,21.93180063336614
1971-05-01,20.286079890886935
1971-06-01,17.259883257254227
1971-07-01,15.717126063489735
1971-08-01,15.117493729864238
1971-09-01,15.552803943940292
1971-10-01,18.40098352245114
1971-11-01,21.906095442870036
1971-12-01,23.738405430620393
1972-01-01,24.051385308335117
1972-02-01,22.656576887397005
1972-03-01,20.529649832430355
1972-04-01,17.514154703942328
1972-05-01,15.08646623426992
1972-06-01,14.310529500464348
1972-07-01,14.720826477945128
1972-08-01,19.596501415025028
1972-09-01,27.860372990096142
1972-10-01,36.12424939093094
1972-11-01,43.808314445098546
1972-12-01,49.13892160950616
1973-01-01,51.446959759902754
1973-02-01,51.468053411124735
1973-03-01,49.8630382186255
1973-04-01,46.98204602151515
1973-05-01,43.61344778094941
1973-06-01,40.99361672149376
1973-07-01,38.89845422445146
1973-08-01,38.63429444350233
1973-09-01,39.80863868401858
1973-10-01,43.432412056943825
1973-11-01,43.99794776714569
1973-12-01,42.23403526762298
1974-01-01,40.18436104555962
1974-02-01,38.13323941663995
1974-03-01,36.27717900571058
1974-04-01,32.14029318318376
1974-05-01,30.115064996180237
1974-06-01,27.2055954262558
1974-07-01,25.0245786563615
1974-08-01,24.66702327193915
1974-09-01,23.845826526980932
1974-10-01,24.523360341494776
1974-11-01,26.005297807371562
1974-12-01,24.582424464977024
1975-01-01,21.88178556403255
1975-02-01,21.06759457784054
1975-03-01,20.384531584703375
1975-04-01,17.897135051517594
1975-05-01,13.730601700867076
1975-06-01,11.365022825572565
1975-07-01,9.48127672061044
1975-08-01,9.475170622815954
1975-09-01,13.493773560271727
1975-10-01,19.12692727136349
1975-11-01,25.111512783382935
1975-12-01,30.61085106604206
1976-01-01,32.57582441482013
1976-02-01,33.953261886260194
1976-03-01,35.15975739591226
1976-04-01,33.97161584505141
1976-05-01,31.097507201099646
1976-06-01,29.880180935797057
1976-07-01,31.94826921799794
1976-08-01,37.393871299288506
1976-09-01,44.311744138102455
1976-10-01,53.24555126041478
1976-11-01,60.58660665471757
1976-12-01,64.18261301327057
1977-01-01,64.5721880337653
1977-02-01,62.526697519249595
1977-03-01,59.732429251307515
1977-04-01,54.67728865382951
1977-05-01,48.725582586541286
1977-06-01,43.32810527603518
1977-07-01,41.00256908817874
1977-08-01,39.842471374895894
1977-09-01,39.45242067468182
1977-10-01,40.063252069053966
1977-11-01,40.307126522448854
1977-12-01,39.69472088819493
1978-01-01,36.93458069941359
1978-02-01,33.24988555436524
1978-03-01,30.14171410814091
1978-04-01,27.60823079595925
1978-05-01,23.34844475715553
1978-06-01,18.690192055478484
1978-07-01,17.10207491196914
1978-08-01,17.878542489314103
1978-09-01,17.92799132181221
1978-10-01,18.77351908928334
1978-11-01,21.488661174287223
1978-12-01,21.488463104340287
1979-01-01,21.242517861878905
1979-02-01,20.001511170877865
1979-03-01,18.130132380580182
1979-04-01,16.38872253824451
1979-05-01,14.23375316291584
1979-06-01,11.857228272198965
1979-07-01,9.585449000044333
1979-08-01,11.465016152435688
1979-09-01,16.113079941972828
1979-10-01,21.280161017838093
1979-11-01,27.881214951456357
1979-12-01,34.197624556609426
1980-01-01,36.88014377635482
1980-02-01,36.46791602204121
1980-03-01,36.114904095872355
1980-04-01,34.388860265970855
1980-05-01,32.471011823126155
1980-06-01,30.503764334757218
1980-07-01,29.162912235483542
1980-08-01,30.616231554740875
1980-09-01,35.739288808377644
1980-10-01,42.929779868417675
1980-11-01,47.974852683367565
1980-12-01,52.63014017571041
1981-01-01,54.213990671633354
1981-02-01,52.58821633226666
1981-03-01,49.647693607986504
1981-04-01,47.62286285692724
1981-05-01,45.899075644029665
1981-06-01,42.66889886904587
1981-07-01,40.06653152566858
1981-08-01,38.26683769008608
1981-09-01,38.667934322097196
1981-10-01,38.67688893117422
1981-11-01,37.8118973186114
1981-12-01,36.82500841660564
1982-01-01,34.74862126805399
1982-02-01,31.204486515877644
1982-03-01,27.555950831734147
1982-04-01,25.024038260395763
1982-05-01,23.061613980370335
1982-06-01,20.130717215432206
1982-07-01,20.505396737831006
1982-08-01,18.775235446550035
