,global_transitivity,avelocal_transmissivity,fraction_clusters_size_2,fraction_clusters_size_3,fraction_clusters_size_5,fraction_giant_component,average_path_length,hamming_distance,corrected_hamming_distance,threshold,edge_density
1985-07-01,0.6323284781109263,0.3392349467462804,0.009668508287292817,0.0020718232044198894,0.0,0.5379834254143646,39.60717312753714,0.0008247202251180762,0.0007521753905012084,0.97,0.003923148293096404
1985-08-01,0.6302130759424512,0.35027675732347796,0.007596685082872928,0.0027624309392265192,0.0,0.8045580110497238,39.32247169008465,0.0008705380154024138,0.000797993180785546,0.97,0.0038506034584795366
1985-09-01,0.6318316453277278,0.33443225037324464,0.006906077348066298,0.004834254143646409,0.0006906077348066298,0.7845303867403315,29.09848053210793,0.0012170350544277167,0.0010709908478963906,0.97,0.0037045592519482106
1985-10-01,0.6085689484126984,0.3319945899182163,0.006906077348066298,0.004143646408839779,0.0020718232044198894,0.5103591160220995,14.313482668410726,0.0010776726089795233,0.0007579026142867507,0.97,0.004024329246640983
1985-11-01,0.6325861766255048,0.315550143187911,0.010359116022099447,0.007596685082872928,0.0027624309392265192,0.6319060773480663,15.298301905070185,0.0012943525755325363,0.0008819924629734983,0.97,0.004436689359200022
1985-12-01,0.60632961420363,0.31145734936312947,0.011049723756906077,0.004143646408839779,0.0020718232044198894,0.5,12.766239680599355,0.0012714436803903677,0.0012523529344385601,0.97,0.004417598613248214
1986-01-01,0.5884605672923154,0.30743548731049386,0.014502762430939226,0.003453038674033149,0.0020718232044198894,0.4924033149171271,12.630157065783315,0.0020035737876421783,0.001960619609250612,0.97,0.004460552791639781
1986-02-01,0.6017607457276023,0.3302321526171303,0.011049723756906077,0.003453038674033149,0.0020718232044198894,0.39157458563535913,11.694435034961145,0.0018164844773144665,0.0016437132264506104,0.97,0.004633324042503637
1986-03-01,0.6141577690788118,0.32114250887355117,0.008287292817679558,0.003453038674033149,0.003453038674033149,0.5117403314917127,16.751187899351937,0.0014117606631361514,0.0012351712630819336,0.97,0.004809913442557854
1986-04-01,0.6076202373516553,0.32202481158736385,0.008287292817679558,0.0027624309392265192,0.0020718232044198894,0.468232044198895,13.088357249437099,0.0016083953464397667,0.0007674479872626543,0.97,0.0039689660833807415
1986-05-01,0.6007715151700701,0.3272578804963944,0.010359116022099447,0.0027624309392265192,0.003453038674033149,0.444060773480663,15.912748699177026,0.0013010343366156689,0.0007579026142867507,0.97,0.003425834361051824
1986-06-01,0.5781949707199449,0.3091779075550511,0.016574585635359115,0.006906077348066298,0.004143646408839779,0.47997237569060774,19.817431611219593,0.0011406720706204874,0.0007388118683349434,0.97,0.00302397415876628
1986-07-01,0.5486677542142468,0.31399441197919453,0.017955801104972375,0.0055248618784530384,0.0020718232044198894,0.255524861878453,14.56768159370787,0.0009583554467807275,0.0009507191484000046,0.97,0.0030316104571470027
1986-08-01,0.5899203475742216,0.3291053037294767,0.011049723756906077,0.008977900552486187,0.0006906077348066298,0.31767955801104975,12.92345536957679,0.0012609437701168735,0.0007559935396915699,0.97,0.0035365606875723066
1986-09-01,0.6120004477779022,0.33099114674083324,0.008977900552486187,0.006906077348066298,0.003453038674033149,0.6919889502762431,18.26574405563388,0.0013888517679939826,0.0006815396304795213,0.97,0.004243872825086767
1986-10-01,0.632861440905488,0.3429728733768131,0.008287292817679558,0.0055248618784530384,0.0020718232044198894,0.7133977900552486,26.963352327818967,0.0021190728006506127,0.0008648107916168716,0.97,0.005498134834120509
1986-11-01,0.6686449508449237,0.35160636335216794,0.008977900552486187,0.004143646408839779,0.0013812154696132596,0.7030386740331491,22.129079720236792,0.002162026979042179,0.001139717533322897,0.97,0.0065204442798397905
1986-12-01,0.6705469996769109,0.36945672028513005,0.017955801104972375,0.004143646408839779,0.0013812154696132596,0.3743093922651934,15.416052161201849,0.002571523479708446,0.0013077160976988015,0.97,0.007784251661849435
1987-01-01,0.7470521659416479,0.3986058883945991,0.014502762430939226,0.003453038674033149,0.0006906077348066298,0.43370165745856354,14.444286189545473,0.004744050369024119,0.0018002573432554304,0.97,0.010728044687618125
