,anom
1950-02-01,-3.5069475527767384
1950-03-01,-5.187915368097688
1950-04-01,-7.532990390819757
1950-05-01,-10.07640303794163
1950-06-01,-11.8001050492733
1950-07-01,-11.379457478270243
1950-08-01,-8.220926128440603
1950-09-01,-1.762472819048976
1950-10-01,5.881972762240958
1950-11-01,12.60005566233304
1950-12-01,17.744043713418158
1951-01-01,19.90519427657027
1951-02-01,20.397289260489938
1951-03-01,18.686669205423758
1951-04-01,17.977230192166736
1951-05-01,19.635932203753544
1951-06-01,22.25564862456173
1951-07-01,27.84883060862164
1951-08-01,37.14989790981742
1951-09-01,47.56028148452008
1951-10-01,54.97519557486237
1951-11-01,59.253800564682294
1951-12-01,60.68869025925248
1952-01-01,57.758523773847514
1952-02-01,54.144932018106196
1952-03-01,48.416362986714056
1952-04-01,42.09101072065902
1952-05-01,38.383131913164426
1952-06-01,35.86123629806715
1952-07-01,33.277575500330045
1952-08-01,32.9534478468238
1952-09-01,35.69040383322862
1952-10-01,36.996177513907284
1952-11-01,34.423796793222245
1952-12-01,32.32466762670686
1953-01-01,29.762792972095784
1953-02-01,26.09015460881161
1953-03-01,22.561288237779294
1953-04-01,19.431531445037415
1953-05-01,15.009626417650754
1953-06-01,12.874793587358717
1953-07-01,12.066187231558295
1953-08-01,12.562834474936068
1953-09-01,17.976534834407005
1953-10-01,22.80405158596133
1953-11-01,23.68302010743664
1953-12-01,24.077073965104727
1954-01-01,24.475507703845565
1954-02-01,24.807406263244278
1954-03-01,22.594008588406112
1954-04-01,20.059131762256467
1954-05-01,19.007369990110547
1954-06-01,20.58514090900454
1954-07-01,25.992208727689466
1954-08-01,33.96827269530099
1954-09-01,43.83395904099134
1954-10-01,51.567279616544965
1954-11-01,56.179349338706736
1954-12-01,56.43196355496897
1955-01-01,56.32288253007476
1955-02-01,53.67964170505957
1955-03-01,49.12026222236819
1955-04-01,42.78137327550584
1955-05-01,38.70415027743864
1955-06-01,36.0728123788352
1955-07-01,35.710602548183765
1955-08-01,36.51100386418647
1955-09-01,37.080406127656005
1955-10-01,38.17290831713711
1955-11-01,37.05510720410371
1955-12-01,33.62221975721507
1956-01-01,29.88600392594786
1956-02-01,28.943017402262765
1956-03-01,26.01285120432716
1956-04-01,20.80184729474286
1956-05-01,18.534627980398394
1956-06-01,17.10780745571981
1956-07-01,15.861950180979045
1956-08-01,16.96819435604578
1956-09-01,17.930438507180437
1956-10-01,19.72670848474872
1956-11-01,20.240956210842253
1956-12-01,20.19905139590533
1957-01-01,17.669216431482315
1957-02-01,16.825049635275164
1957-03-01,15.668830039042616
1957-04-01,13.00552446261455
1957-05-01,9.105023600057121
1957-06-01,7.820151922800113
1957-07-01,9.783053970114521
1957-08-01,13.426882053466755
1957-09-01,20.303493024254887
1957-10-01,27.291517866887656
1957-11-01,32.627959044367465
1957-12-01,35.92904463611834
1958-01-01,37.02771064034109
1958-02-01,36.14084594228609
1958-03-01,35.38072173815283
1958-04-01,33.78868554470301
1958-05-01,31.712291911523927
1958-06-01,29.958887271917867
1958-07-01,31.72117077775695
1958-08-01,36.75282135519915
1958-09-01,41.29863368597466
1958-10-01,45.54336236552765
1958-11-01,50.076289350011095
1958-12-01,51.48547149484592
1959-01-01,50.876271947390734
1959-02-01,48.242517360911776
1959-03-01,45.412657448299484
1959-04-01,41.78178349398531
1959-05-01,36.72348380936966
1959-06-01,33.54699562613778
1959-07-01,32.133478938667245
1959-08-01,32.151956762366325
1959-09-01,32.14113460887737
1959-10-01,31.890911202644194
1959-11-01,32.20543040946891
1959-12-01,30.67165492764017
1960-01-01,29.87067168166566
1960-02-01,27.603875909811407
1960-03-01,23.520131924794835
1960-04-01,19.93974548596339
1960-05-01,16.551267236470267
1960-06-01,13.304433320641403
1960-07-01,12.234272146408744
1960-08-01,13.144222123516919
1960-09-01,14.754374289029538
1960-10-01,17.51326138089735
1960-11-01,21.38556817326207
1960-12-01,22.646760921779492
1961-01-01,21.491441894463645
1961-02-01,19.72767270744921
1961-03-01,15.96721686828195
1961-04-01,12.338062308127922
1961-05-01,9.685608476187774
1961-06-01,9.040185277090997
1961-07-01,11.375324327296523
1961-08-01,18.340645982080037
1961-09-01,27.253612369504932
1961-10-01,35.66408287368981
1961-11-01,42.66731537659341
1961-12-01,47.11948982331474
1962-01-01,48.57726408890394
1962-02-01,47.572085565547404
1962-03-01,46.60767198540912
1962-04-01,41.477939264682256
1962-05-01,38.08483697408124
1962-06-01,35.992751230996156
1962-07-01,35.47328926925253
1962-08-01,37.06488066598349
1962-09-01,41.214387935167984
1962-10-01,44.222233682505276
1962-11-01,46.05727152864925
1962-12-01,45.55899356165693
1963-01-01,42.11449268241821
1963-02-01,40.517202572655314
1963-03-01,38.48707466161955
1963-04-01,34.9818517511648
1963-05-01,31.260960403297954
1963-06-01,28.704173374938
1963-07-01,28.617224278805296
1963-08-01,26.898360781527355
1963-09-01,27.60997393089045
1963-10-01,29.054091404730233
1963-11-01,29.624055876966086
1963-12-01,28.725053115755724
1964-01-01,26.81025432031894
1964-02-01,25.258945598374407
1964-03-01,22.42657373263915
1964-04-01,20.5766225616976
1964-05-01,19.08421214289814
1964-06-01,17.630383440108936
1964-07-01,17.32274896235356
1964-08-01,17.814724914887105
1964-09-01,20.92072543241812
1964-10-01,24.585198093794546
1964-11-01,27.399536206247934
1964-12-01,27.63943809832157
1965-01-01,27.618656493625284
1965-02-01,26.91572782496669
1965-03-01,25.639275343315795
1965-04-01,24.01922400492823
1965-05-01,22.07514228799571
1965-06-01,21.198544988086407
1965-07-01,21.900943970014136
1965-08-01,26.22158720139148
1965-09-01,32.79740473721094
1965-10-01,37.990410028060936
1965-11-01,41.94300403839616
1965-12-01,45.01012734729226
1966-01-01,44.5837811332912
1966-02-01,43.470469857070704
1966-03-01,42.15100559569914
1966-04-01,40.78721139831176
1966-05-01,38.05009775364706
1966-06-01,35.842286404167616
1966-07-01,35.311847559142336
1966-08-01,36.5469253180315
1966-09-01,37.4551704686048
1966-10-01,38.19266699929983
1966-11-01,38.88684182649298
1966-12-01,40.03460392938267
1967-01-01,38.081558071703256
1967-02-01,34.03797525318609
1967-03-01,32.158733745742616
1967-04-01,30.607864398882324
1967-05-01,28.028529153838146
1967-06-01,24.846139725807117
1967-07-01,23.678511209894967
1967-08-01,24.13120476077336
1967-09-01,23.797262453758176
1967-10-01,23.425457734194193
1967-11-01,25.18384267713125
1967-12-01,24.039590940106425
1968-01-01,21.69062399439088
1968-02-01,20.069503083994725
1968-03-01,18.00268232048048
1968-04-01,15.333950854544991
1968-05-01,12.711525487014239
1968-06-01,11.246914087352447
1968-07-01,11.925907939235737
1968-08-01,13.903374598553388
1968-09-01,19.57463034408886
1968-10-01,26.246137694647384
1968-11-01,33.301248945244126
1968-12-01,37.09617839511345
1969-01-01,37.60765976275652
1969-02-01,36.584313949809435
1969-03-01,36.4067369097569
1969-04-01,34.765980444466166
1969-05-01,31.605881435438995
1969-06-01,29.61534959383329
1969-07-01,29.262084600365313
1969-08-01,30.370377346259705
1969-09-01,31.326621102154686
1969-10-01,35.66746751446945
1969-11-01,39.40437213616082
1969-12-01,39.61022887165779
1970-01-01,38.257830171740764
1970-02-01,36.512711869635694
1970-03-01,34.681270807290396
1970-04-01,32.06484555488712
1970-05-01,29.211434174440207
1970-06-01,27.539888223571037
1970-07-01,26.180716262511666
1970-08-01,26.967357399835905
1970-09-01,27.860225701329053
1970-10-01,28.645760501773808
1970-11-01,29.491272483247315
1970-12-01,29.144151479519124
1971-01-01,26.846326385205362
1971-02-01,25.585441826346162
1971-03-01,23.378142701219847
1971-04-01,20.680674113658466
1971-05-01,19.327502566175873
1971-06-01,16.55495730100351
1971-07-01,15.195198016264742
1971-08-01,15.106016480458543
1971-09-01,16.285209605538583
1971-10-01,19.9729179239158
1971-11-01,24.225463826858228
1971-12-01,26.535066056890603
1972-01-01,27.1515246312398
1972-02-01,25.984551292079747
1972-03-01,24.143760622663716
1972-04-01,21.584424019563606
1972-05-01,19.65345254598927
1972-06-01,19.129582501712527
1972-07-01,19.003221595090817
1972-08-01,22.240658417928504
1972-09-01,28.073533707017905
1972-10-01,33.55365261724958
1972-11-01,38.52001312658595
1972-12-01,41.83391523055827
1973-01-01,42.94021036959167
1973-02-01,42.564759399717076
1973-03-01,41.06943924240438
1973-04-01,38.80001831007008
1973-05-01,36.281485957576166
1973-06-01,34.17834551991511
1973-07-01,32.09942767986379
1973-08-01,31.590685390530435
1973-09-01,32.562702658224545
1973-10-01,36.39081510272011
1973-11-01,37.61896580513891
1973-12-01,36.57885126534426
1974-01-01,35.14571435123796
1974-02-01,33.66696384861065
1974-03-01,32.44347119593311
1974-04-01,29.072489666546627
1974-05-01,27.702493716174455
1974-06-01,25.455054732324115
1974-07-01,23.625093621698852
1974-08-01,23.583594853047916
1974-09-01,23.093524423643483
1974-10-01,24.11440816061788
1974-11-01,26.08961973146573
1974-12-01,25.09067907025968
1975-01-01,22.63997540874214
1975-02-01,21.95771049873607
1975-03-01,21.467765833909645
1975-04-01,19.204551601850945
1975-05-01,15.193680130593014
1975-06-01,12.999390529670679
1975-07-01,11.33437212760917
1975-08-01,11.34060087129884
1975-09-01,15.130015091763465
1975-10-01,20.12402811159491
1975-11-01,25.12705980192355
1975-12-01,29.70019790044516
1976-01-01,30.779919768002785
1976-02-01,31.575237894493583
1976-03-01,32.80732599525415
1976-04-01,31.77978147585978
1976-05-01,28.824845064604634
1976-06-01,27.286914116414668
1976-07-01,28.936718758306167
1976-08-01,33.63383962023474
1976-09-01,39.33588330394843
1976-10-01,46.98338377175508
1976-11-01,53.47311232617976
1976-12-01,56.727681143288216
1977-01-01,57.13783643312745
1977-02-01,55.52549953511481
1977-03-01,53.62569186734686
1977-04-01,49.79051991411809
1977-05-01,44.64446149273904
1977-06-01,39.645461889385395
1977-07-01,37.40988823777704
1977-08-01,36.137048663817616
1977-09-01,35.5603485075678
1977-10-01,35.98016655817521
1977-11-01,36.24890642373717
1977-12-01,35.851206324159854
1978-01-01,33.40558790026129
1978-02-01,30.117940130328645
1978-03-01,27.44092098505299
1978-04-01,25.430423075957414
1978-05-01,21.62846446642507
1978-06-01,17.147054635317797
1978-07-01,15.493343904988853
1978-08-01,16.31995913984024
1978-09-01,16.53961031260664
1978-10-01,17.575216539672354
1978-11-01,20.555314882302334
1978-12-01,20.819341644145947
1979-01-01,20.791928164435003
1979-02-01,19.730484521082165
1979-03-01,18.026977517904644
1979-04-01,16.501554213022178
1979-05-01,14.587943580343113
1979-06-01,12.448231226977159
1979-07-01,10.257573447732112
1979-08-01,12.120119765256128
1979-09-01,16.488134768577673
1979-10-01,20.871442721043085
1979-11-01,26.28257764590684
1979-12-01,31.587004191251854
1980-01-01,33.58087382805109
1980-02-01,32.69423620360987
1980-03-01,32.19284608165368
1980-04-01,30.443028402079236
1980-05-01,28.5993113617321
1980-06-01,26.761812095525997
1980-07-01,25.427091568106736
1980-08-01,26.62281725163915
1980-09-01,31.257061103951802
1980-10-01,37.78932224001425
1980-11-01,42.14447725463497
1980-12-01,46.454552679993746
1981-01-01,48.101436230719536
1981-02-01,46.67472285584795
1981-03-01,43.93352296117482
1981-04-01,42.32500929265764
1981-05-01,41.29882845495692
1981-06-01,38.88194195800959
1981-07-01,36.91849850992951
1981-08-01,35.45030636138018
1981-09-01,36.061796313193554
1981-10-01,36.25496332975007
1981-11-01,35.55024888445061
1981-12-01,34.76578140513552
1982-01-01,32.92983061249071
1982-02-01,29.5819417302621
1982-03-01,25.996849893817785
1982-04-01,23.521809624801435
1982-05-01,21.71797437110069
1982-06-01,18.995783835987496
1982-07-01,19.55899706633033
1982-08-01,18.043138532884345
1982-09-01,17.84691133645251
1982-10-01,18.338682025773245
1982-11-01,18.73435123073777
1982-12-01,18.647134522923654
1983-01-01,18.900763510511243
1983-02-01,17.84598523139949
1983-03-01,15.84845683145353
1983-04-01,15.10207003446831
1983-05-01,14.746415442011063
1983-06-01,12.694358177650667
1983-07-01,11.054722341000048
1983-08-01,10.709886069312663
1983-09-01,12.579716704267442
1983-10-01,18.610006998277093
1983-11-01,26.323097005575928
1983-12-01,31.611689928953766
1984-01-01,34.661856101623705
1984-02-01,35.82813984604692
1984-03-01,35.139739527657206
1984-04-01,33.72942512002703
1984-05-01,31.34324590253534
1984-06-01,29.86290955376056
1984-07-01,28.407810128740554
1984-08-01,30.052376667037585
1984-09-01,33.909303797901934
1984-10-01,39.16850607722808
1984-11-01,46.273643785522744
1984-12-01,51.31866800611752
1985-01-01,51.84203681803665
1985-02-01,52.60557819802771
1985-03-01,50.89497957936605
1985-04-01,49.442853948635
1985-05-01,46.76594347191008
1985-06-01,41.68033939235574
1985-07-01,38.10908380772077
1985-08-01,37.11004411448959
1985-09-01,37.282106486519
1985-10-01,37.820176007233215
1985-11-01,37.80332153650469
1985-12-01,38.68206100586316
1986-01-01,36.660455943124255
1986-02-01,32.51051731798727
1986-03-01,30.84128096116036
1986-04-01,27.657322831864054
1986-05-01,25.014726399566236
1986-06-01,21.305875299185484
1986-07-01,19.274557408644476
1986-08-01,17.976796294331113
1986-09-01,17.581381781805643
1986-10-01,20.482154872663223
1986-11-01,22.869265619395954
1986-12-01,23.91880139113389
1987-01-01,23.84252286164798
1987-02-01,22.12415222696761
1987-03-01,21.248622537612963
1987-04-01,19.408033048353452
1987-05-01,16.635979325015033
1987-06-01,13.245836638119675
1987-07-01,11.17885724700492
1987-08-01,12.523283369988347
1987-09-01,16.779857891269355
1987-10-01,24.315132646293865
1987-11-01,32.08046079305695
1987-12-01,37.535859228110695
1988-01-01,40.531997167517346
1988-02-01,42.624123523658845
1988-03-01,41.93527178456443
1988-04-01,39.49374587415682
1988-05-01,37.462108274308605
1988-06-01,35.04060972191758
1988-07-01,31.56579019235528
1988-08-01,31.237649665926313
1988-09-01,34.20493841629929
1988-10-01,38.9129231619869
1988-11-01,42.832848199837656
1988-12-01,45.12114980606491
1989-01-01,45.69756060373251
1989-02-01,44.04629156070577
1989-03-01,41.12932197890118
1989-04-01,38.57403473432417
1989-05-01,36.644784806713446
1989-06-01,35.213383911586156
1989-07-01,31.887854193373418
1989-08-01,29.11955104381004
1989-09-01,30.048352772370983
1989-10-01,31.731666106513288
1989-11-01,32.59997916406994
1989-12-01,31.918185146089332
1990-01-01,31.814069775324608
1990-02-01,29.190031625835026
1990-03-01,26.019506922923437
1990-04-01,23.221532745880687
1990-05-01,21.829397106707827
1990-06-01,17.806794074209844
1990-07-01,15.033584335611113
1990-08-01,13.542400668618685
1990-09-01,13.560114022940098
1990-10-01,16.16562901637025
1990-11-01,19.791564269206052
1990-12-01,23.43851554366221
1991-01-01,24.273747148343674
1991-02-01,23.368679476998206
1991-03-01,23.293669354219865
1991-04-01,22.587189138040955
1991-05-01,22.797091936694343
1991-06-01,20.994288013389294
1991-07-01,19.761087248174558
1991-08-01,20.303361828054868
1991-09-01,25.095436745037077
1991-10-01,31.33459856656132
1991-11-01,38.28864930972604
1991-12-01,44.17782280302467
1992-01-01,47.252785419956325
1992-02-01,45.584543272284805
1992-03-01,44.73749299328819
1992-04-01,44.341092642240625
1992-05-01,41.848416575563604
1992-06-01,37.94593047899104
1992-07-01,34.53418303235176
1992-08-01,33.52697016709422
1992-09-01,33.41654393170471
1992-10-01,34.15503358931571
1992-11-01,36.30059000027251
1992-12-01,36.169548014101174
1993-01-01,35.306226679443746
1993-02-01,33.62627836229704
1993-03-01,30.34543312970737
1993-04-01,27.503855573365346
1993-05-01,25.163334784631253
1993-06-01,21.610843715097914
1993-07-01,19.121465114187547
1993-08-01,17.998404922444674
1993-09-01,16.98740887678901
1993-10-01,18.6987648649354
1993-11-01,20.771764151056633
1993-12-01,21.32724449758339
1994-01-01,21.617655146606282
