time,date,Volume,anom
1986-12-01 00:00:00,198612,2628954000000000.0,84020300000000.0
1987-01-01 00:00:00,198701,2577159000000000.0,48328580000000.0
1987-02-01 00:00:00,198702,2500974000000000.0,6589017000000.0
1987-03-01 00:00:00,198703,2449796000000000.0,-11860550000000.0
1987-04-01 00:00:00,198704,2402622000000000.0,-25539220000000.0
1987-05-01 00:00:00,198705,2349161000000000.0,-50481700000000.0
1987-06-01 00:00:00,198706,2289500000000000.0,-91908270000000.0
1987-07-01 00:00:00,198707,2259842000000000.0,-116643800000000.0
1987-08-01 00:00:00,198708,2295905000000000.0,-98185640000000.0
1987-09-01 00:00:00,198709,2334412000000000.0,-98696200000000.0
1987-10-01 00:00:00,198710,2359529000000000.0,-122338900000000.0
1987-11-01 00:00:00,198711,2383790000000000.0,-143157700000000.0
1987-12-01 00:00:00,198712,2383631000000000.0,-161302300000000.0
1988-01-01 00:00:00,198801,2353099000000000.0,-175731800000000.0
1988-02-01 00:00:00,198802,2295409000000000.0,-198975900000000.0
1988-03-01 00:00:00,198803,2238371000000000.0,-223285600000000.0
1988-04-01 00:00:00,198804,2195940000000000.0,-232221100000000.0
1988-05-01 00:00:00,198805,2184307000000000.0,-215336000000000.0
1988-06-01 00:00:00,198806,2200021000000000.0,-181387100000000.0
1988-07-01 00:00:00,198807,2224839000000000.0,-151646800000000.0
1988-08-01 00:00:00,198808,2247362000000000.0,-146728200000000.0
1988-09-01 00:00:00,198809,2274072000000000.0,-159036700000000.0
1988-10-01 00:00:00,198810,2308864000000000.0,-173004000000000.0
1988-11-01 00:00:00,198811,2369640000000000.0,-157307200000000.0
1988-12-01 00:00:00,198812,2439373000000000.0,-105560400000000.0
1989-01-01 00:00:00,198901,2491028000000000.0,-37803230000000.0
1989-02-01 00:00:00,198902,2514198000000000.0,19813490000000.0
1989-03-01 00:00:00,198903,2517528000000000.0,55871350000000.0
1989-04-01 00:00:00,198904,2519925000000000.0,91764660000000.0
1989-05-01 00:00:00,198905,2513628000000000.0,113985200000000.0
1989-06-01 00:00:00,198906,2492366000000000.0,110958100000000.0
1989-07-01 00:00:00,198907,2477131000000000.0,100645600000000.0
1989-08-01 00:00:00,198908,2478206000000000.0,84115860000000.0
1989-09-01 00:00:00,198909,2494590000000000.0,61481650000000.0
1989-10-01 00:00:00,198910,2534037000000000.0,52169360000000.0
1989-11-01 00:00:00,198911,2596634000000000.0,69686110000000.0
1989-12-01 00:00:00,198912,2658329000000000.0,113394900000000.0
1990-01-01 00:00:00,199001,2689703000000000.0,160872300000000.0
1990-02-01 00:00:00,199002,2680060000000000.0,185675500000000.0
1990-03-01 00:00:00,199003,2634880000000000.0,173223800000000.0
1990-04-01 00:00:00,199004,2547817000000000.0,119655900000000.0
1990-05-01 00:00:00,199005,2463450000000000.0,63807910000000.0
1990-06-01 00:00:00,199006,2421230000000000.0,39822130000000.0
1990-07-01 00:00:00,199007,2430376000000000.0,53890300000000.0
1990-08-01 00:00:00,199008,2470730000000000.0,76639930000000.0
1990-09-01 00:00:00,199009,2507695000000000.0,74586670000000.0
1990-10-01 00:00:00,199010,2542906000000000.0,61038200000000.0
1990-11-01 00:00:00,199011,2586022000000000.0,59074860000000.0
1990-12-01 00:00:00,199012,2626330000000000.0,81395800000000.0
1991-01-01 00:00:00,199101,2614022000000000.0,85190940000000.0
1991-02-01 00:00:00,199102,2558104000000000.0,63718790000000.0
1991-03-01 00:00:00,199103,2515447000000000.0,53790440000000.0
1991-04-01 00:00:00,199104,2496115000000000.0,67954440000000.0
1991-05-01 00:00:00,199105,2486033000000000.0,86390310000000.0
1991-06-01 00:00:00,199106,2484076000000000.0,102667400000000.0
1991-07-01 00:00:00,199107,2490252000000000.0,113766200000000.0
1991-08-01 00:00:00,199108,2508754000000000.0,114663500000000.0
1991-09-01 00:00:00,199109,2548854000000000.0,115745100000000.0
1991-10-01 00:00:00,199110,2605379000000000.0,123510900000000.0
1991-11-01 00:00:00,199111,2650473000000000.0,123525100000000.0
1991-12-01 00:00:00,199112,2673819000000000.0,128885000000000.0
1992-01-01 00:00:00,199201,2653577000000000.0,124746500000000.0
1992-02-01 00:00:00,199202,2578928000000000.0,84542940000000.0
1992-03-01 00:00:00,199203,2475688000000000.0,14032200000000.0
1992-04-01 00:00:00,199204,2386988000000000.0,-41172360000000.0
1992-05-01 00:00:00,199205,2311416000000000.0,-88226140000000.0
1992-06-01 00:00:00,199206,2275161000000000.0,-106247300000000.0
1992-07-01 00:00:00,199207,2296746000000000.0,-79739830000000.0
1992-08-01 00:00:00,199208,2340138000000000.0,-53951770000000.0
1992-09-01 00:00:00,199209,2401427000000000.0,-31681290000000.0
1992-10-01 00:00:00,199210,2471400000000000.0,-10468180000000.0
1992-11-01 00:00:00,199211,2526881000000000.0,-66571990000.0
1992-12-01 00:00:00,199212,2564757000000000.0,19823150000000.0
1993-01-01 00:00:00,199301,2547982000000000.0,19150720000000.0
1993-02-01 00:00:00,199302,2504535000000000.0,10150350000000.0
1993-03-01 00:00:00,199303,2470780000000000.0,9123316000000.0
1993-04-01 00:00:00,199304,2424812000000000.0,-3348464000000.0
1993-05-01 00:00:00,199305,2360257000000000.0,-39385660000000.0
1993-06-01 00:00:00,199306,2285381000000000.0,-96027680000000.0
1993-07-01 00:00:00,199307,2243822000000000.0,-132663500000000.0
1993-08-01 00:00:00,199308,2268105000000000.0,-125984800000000.0
1993-09-01 00:00:00,199309,2341908000000000.0,-91200410000000.0
1993-10-01 00:00:00,199310,2409425000000000.0,-72442680000000.0
1993-11-01 00:00:00,199311,2446644000000000.0,-80303810000000.0
1993-12-01 00:00:00,199312,2451112000000000.0,-93822220000000.0
1994-01-01 00:00:00,199401,2423276000000000.0,-105555300000000.0
1994-02-01 00:00:00,199402,2388269000000000.0,-106116300000000.0
1994-03-01 00:00:00,199403,2369788000000000.0,-91868550000000.0
1994-04-01 00:00:00,199404,2367871000000000.0,-60290070000000.0
1994-05-01 00:00:00,199405,2366867000000000.0,-32775700000000.0
1994-06-01 00:00:00,199406,2357347000000000.0,-24061210000000.0
1994-07-01 00:00:00,199407,2359351000000000.0,-17134770000000.0
1994-08-01 00:00:00,199408,2396386000000000.0,2295928000000.0
1994-09-01 00:00:00,199409,2464412000000000.0,31303330000000.0
1994-10-01 00:00:00,199410,2541941000000000.0,60073710000000.0
1994-11-01 00:00:00,199411,2595705000000000.0,68757330000000.0
1994-12-01 00:00:00,199412,2570373000000000.0,25439090000000.0
1995-01-01 00:00:00,199501,2492226000000000.0,-36605200000000.0
1995-02-01 00:00:00,199502,2412291000000000.0,-82093470000000.0
1995-03-01 00:00:00,199503,2345987000000000.0,-115669600000000.0
1995-04-01 00:00:00,199504,2317874000000000.0,-110287000000000.0
1995-05-01 00:00:00,199505,2327909000000000.0,-71734010000000.0
1995-06-01 00:00:00,199506,2342137000000000.0,-39271570000000.0
1995-07-01 00:00:00,199507,2344089000000000.0,-32396400000000.0
1995-08-01 00:00:00,199508,2343280000000000.0,-50809730000000.0
1995-09-01 00:00:00,199509,2359580000000000.0,-73528230000000.0
1995-10-01 00:00:00,199510,2417303000000000.0,-64564900000000.0
1995-11-01 00:00:00,199511,2490857000000000.0,-36090070000000.0
1995-12-01 00:00:00,199512,2543478000000000.0,-1455994000000.0
1996-01-01 00:00:00,199601,2557287000000000.0,28456310000000.0
1996-02-01 00:00:00,199602,2542566000000000.0,48181480000000.0
