time,anom
1950-03-01,1.03232615636799
1950-04-01,0.5960729141620801
1950-05-01,0.16848021135873972
1950-06-01,-0.2829341174118743
1950-07-01,-0.7833143977317482
1950-08-01,-1.2769993253769567
1950-09-01,-1.7228399735608093
1950-10-01,-2.124460727521187
1950-11-01,-2.5186181584887195
1950-12-01,-2.960983997549628
1951-01-01,-3.431013242797268
1951-02-01,-3.8903965029106993
1951-03-01,-4.2838654176739075
1951-04-01,-4.563009506338749
1951-05-01,-4.6499073175860515
1951-06-01,-4.45200644585282
1951-07-01,-3.9764456374197885
1951-08-01,-3.3226678341360447
1951-09-01,-2.5798097895119447
1951-10-01,-1.768772078505987
1951-11-01,-0.9394152489470701
1951-12-01,-0.19543026487286141
1952-01-01,0.3637564127898851
1952-02-01,0.7330871422971322
1952-03-01,0.981304734011862
1952-04-01,1.163192525626273
1952-05-01,1.3301189964907418
1952-06-01,1.5015500810844717
1952-07-01,1.6910974998784607
1952-08-01,1.8748786776319168
1952-09-01,2.009466500559345
1952-10-01,2.050708087281663
1952-11-01,1.9916503619254395
1952-12-01,1.8429173506278644
1953-01-01,1.652925678655586
1953-02-01,1.4613100351652513
1953-03-01,1.3069543891362254
1953-04-01,1.1974702101628207
1953-05-01,1.1330697203416271
1953-06-01,1.0979572818573142
1953-07-01,1.072618326134896
1953-08-01,1.055173982185477
1953-09-01,1.046457521671196
1953-10-01,1.017881732359868
1953-11-01,0.9147720578263309
1953-12-01,0.713287520602254
1954-01-01,0.46025803601166376
1954-02-01,0.19084110018848932
1954-03-01,-0.11597143498582103
1954-04-01,-0.5313803187817628
1954-05-01,-1.052119437350708
1954-06-01,-1.5365886053116284
1954-07-01,-1.8394042895918485
1954-08-01,-1.9141344860370968
1954-09-01,-1.863733811841179
1954-10-01,-1.7985761009809391
1954-11-01,-1.7650748051908505
1954-12-01,-1.7706272709698478
1955-01-01,-1.797276024108914
1955-02-01,-1.833521111455185
1955-03-01,-1.8510475827570534
1955-04-01,-1.879339503098059
1955-05-01,-1.932519747339909
1955-06-01,-1.9698766267987164
1955-07-01,-1.932852884914092
1955-08-01,-1.7806512816512299
1955-09-01,-1.5060521724347566
1955-10-01,-1.102070343186669
1955-11-01,-0.6258958971276188
1955-12-01,-0.1806384965380682
1956-01-01,0.180451545913589
1956-02-01,0.4588633014740478
1956-03-01,0.6969773806402048
1956-04-01,0.9050380467005006
1956-05-01,1.1024149181016607
1956-06-01,1.2880500422457857
1956-07-01,1.4544040681657282
1956-08-01,1.5818196027406313
1956-09-01,1.6614250377726545
1956-10-01,1.6850014755955318
1956-11-01,1.644524646371239
1956-12-01,1.5168718942778991
1957-01-01,1.3319821773913543
1957-02-01,1.1366625373639547
1957-03-01,0.9930408365819842
1957-04-01,0.9100638317131088
1957-05-01,0.8666783323550705
1957-06-01,0.8346209523292742
1957-07-01,0.7807611261545482
1957-08-01,0.6826445166786002
1957-09-01,0.5419541848928185
1957-10-01,0.3832584460565016
1957-11-01,0.21251897412539833
1957-12-01,-0.01698388199320296
1958-01-01,-0.3043791810382655
1958-02-01,-0.6317475939762526
1958-03-01,-1.0092691912148315
1958-04-01,-1.480842476022552
1958-05-01,-2.0133325249756395
1958-06-01,-2.448559331928743
1958-07-01,-2.6550078888082553
1958-08-01,-2.600694066502463
1958-09-01,-2.3906230596278255
1958-10-01,-2.137948965699092
1958-11-01,-1.8765683394902695
1958-12-01,-1.563257989801053
1959-01-01,-1.1648059741566381
1959-02-01,-0.7419231084694834
1959-03-01,-0.32539864646421296
1959-04-01,0.06359036276370371
1959-05-01,0.4550053793045225
1959-06-01,0.829313155382477
1959-07-01,1.1828012632732932
1959-08-01,1.4876605994299357
1959-09-01,1.714467097896866
1959-10-01,1.832701151797674
1959-11-01,1.8402479076600393
1959-12-01,1.745724069090335
1960-01-01,1.5976210089728664
1960-02-01,1.4429351479781936
1960-03-01,1.33318251445138
1960-04-01,1.2820459450575257
1960-05-01,1.287195146916165
1960-06-01,1.3221884616844914
1960-07-01,1.3523642739492157
1960-08-01,1.3422283545251215
1960-09-01,1.2851976757336867
1960-10-01,1.1957770068528515
1960-11-01,1.0814037428604866
1960-12-01,0.9092381772107861
1961-01-01,0.6761622773080838
1961-02-01,0.40714696728086963
1961-03-01,0.12937903107531903
1961-04-01,-0.18704677487112184
1961-05-01,-0.5522820203099457
1961-06-01,-0.8978529862773131
1961-07-01,-1.1717314624533361
1961-08-01,-1.3727324054503012
1961-09-01,-1.5303372777710262
1961-10-01,-1.6623288109988945
1961-11-01,-1.787819588010476
1961-12-01,-1.9009178895730752
1962-01-01,-1.935714088564109
1962-02-01,-1.8957117401858656
1962-03-01,-1.8356958072332954
1962-04-01,-1.845551012640686
1962-05-01,-1.8867406447181512
1962-06-01,-1.8695874048722736
1962-07-01,-1.7167723166233462
1962-08-01,-1.4038919251993036
1962-09-01,-0.9792417336215777
1962-10-01,-0.5080069902455348
1962-11-01,-0.06715540693834281
1962-12-01,0.28604326114086714
1963-01-01,0.5445893572093835
1963-02-01,0.728145547290687
1963-03-01,0.893527383605471
1963-04-01,1.0609429346611468
1963-05-01,1.2552573587942273
1963-06-01,1.4686711418451825
1963-07-01,1.679065841967019
1963-08-01,1.8357654055830916
1963-09-01,1.9088991069898806
1963-10-01,1.8920190634763496
1963-11-01,1.8022210409077009
1963-12-01,1.6344569402621818
1964-01-01,1.4292538130569679
1964-02-01,1.2304429818457419
1964-03-01,1.0807958097205355
1964-04-01,0.9851041540983102
1964-05-01,0.9406238334629341
1964-06-01,0.9107100126808826
