,anom
1950-02-01,-3.5180983096647767
1950-03-01,-5.214643373091487
1950-04-01,-7.5607355718870455
1950-05-01,-10.079061905321568
1950-06-01,-11.81687932580499
1950-07-01,-11.523660904826839
1950-08-01,-8.596022085467736
1950-09-01,-2.3303573550865138
1950-10-01,5.325656457865665
1950-11-01,12.218157311118562
1950-12-01,17.551932739004425
1951-01-01,19.842739664384272
1951-02-01,20.34859832398476
1951-03-01,18.574950198519293
1951-04-01,17.885729553906597
1951-05-01,19.878682115313687
1951-06-01,23.439722279016408
1951-07-01,30.605255031143543
1951-08-01,41.811214117940885
1951-09-01,53.94243344487345
1951-10-01,62.573930826287366
1951-11-01,67.53416672958164
1951-12-01,69.0374673465509
1952-01-01,65.70766062986094
1952-02-01,61.43201814079621
1952-03-01,55.02310000287641
1952-04-01,48.17317387930507
1952-05-01,44.271740510771394
1952-06-01,41.83341340505396
1952-07-01,39.55934738236959
1952-08-01,39.679706823696634
1952-09-01,42.632140495112644
1952-10-01,43.75606094715704
1952-11-01,40.74752134008077
1952-12-01,38.085340154824195
1953-01-01,34.81500385462517
1953-02-01,30.491777388323893
1953-03-01,26.498160042612618
1953-04-01,22.94102869526102
1953-05-01,18.26113804117554
1953-06-01,16.056008071390405
1953-07-01,15.033181600284871
1953-08-01,15.058021882332804
1953-09-01,19.771564911677146
1953-10-01,23.771526873745856
1953-11-01,23.829211714472056
1953-12-01,23.557102078493322
1954-01-01,23.290359758189858
1954-02-01,22.897195737530783
1954-03-01,19.9816236075396
1954-04-01,16.81502856039323
1954-05-01,15.576794071821967
1954-06-01,17.63641557723846
1954-07-01,24.237207205188994
1954-08-01,33.9818000438936
1954-09-01,45.820065114215645
1954-10-01,55.33100445325287
1954-11-01,61.3642665667453
1954-12-01,62.46883545028663
1955-01-01,62.78879976216281
1955-02-01,60.251814517327155
1955-03-01,55.54074348273862
1955-04-01,48.93291960235184
1955-05-01,44.75245005436169
1955-06-01,42.324885985068846
1955-07-01,42.46295550299215
1955-08-01,43.87632525769375
1955-09-01,44.862005811069835
1955-10-01,46.00344761293299
1955-11-01,44.54116004663835
1955-12-01,40.58551062634804
1956-01-01,36.32740704173747
1956-02-01,34.851229605785115
1956-03-01,31.29295707928105
1956-04-01,25.472119770790176
1956-05-01,22.84729859196343
1956-06-01,21.153491044841704
1956-07-01,19.789039004213137
1956-08-01,20.75063943970578
1956-09-01,21.36981437988862
1956-10-01,22.6743603842752
1956-11-01,22.585728007830852
1956-12-01,21.987410503424822
1957-01-01,19.013587414609592
1957-02-01,17.883967916336577
1957-03-01,16.42971539750916
1957-04-01,13.388174768137587
1957-05-01,9.188579531777044
1957-06-01,7.567940628271362
1957-07-01,9.078290559027268
1957-08-01,12.31588552168684
1957-09-01,18.994330159096986
1957-10-01,25.978546763538496
1957-11-01,31.4630137036168
1957-12-01,34.94512384132967
1958-01-01,36.1652201831033
1958-02-01,35.30538232220886
1958-03-01,34.4451071985127
1958-04-01,32.73794419971768
1958-05-01,30.819305429350084
1958-06-01,30.080756711160532
1958-07-01,33.68120794126009
1958-08-01,41.33176153873753
1958-09-01,48.74368722545419
1958-10-01,55.449794652825716
1958-11-01,61.631161179691986
1958-12-01,63.8118707582696
1959-01-01,63.35268618407842
1959-02-01,60.20779492014362
1959-03-01,56.437851904396105
1959-04-01,51.538314718722525
1959-05-01,45.56267218473193
1959-06-01,42.09544477142722
1959-07-01,40.84889393308378
1959-08-01,41.20565107668359
1959-09-01,41.4236044608877
1959-10-01,41.14138943328244
1959-11-01,41.0480877371404
1959-12-01,38.829635674306495
1960-01-01,37.2297938921939
1960-02-01,34.05010587415568
1960-03-01,29.036463924133958
1960-04-01,24.582731829875016
1960-05-01,20.631814788644032
1960-06-01,17.093254708189974
1960-07-01,15.917700531978234
1960-08-01,16.556068376905518
1960-09-01,17.664863287569553
1960-10-01,19.82210467749919
1960-11-01,23.00592858741849
1960-12-01,23.604549119397053
1961-01-01,21.84739629519575
1961-02-01,19.58863165509126
1961-03-01,15.397739615397347
1961-04-01,11.251414727344743
1961-05-01,8.03255439145528
1961-06-01,6.879561936727767
1961-07-01,9.002961267516733
1961-08-01,16.146308262889107
1961-09-01,25.65878328774446
1961-10-01,34.889364720751566
1961-11-01,42.76265466881837
1961-12-01,47.905215504684
1962-01-01,49.741180129763485
1962-02-01,48.87161833331383
1962-03-01,47.927097110491715
1962-04-01,42.792492835660084
1962-05-01,38.85914852281867
1962-06-01,36.474016678092966
1962-07-01,36.90031914392469
1962-08-01,40.948351758644314
1962-09-01,48.22500524860955
1962-10-01,53.97669940429011
1962-11-01,57.921522578113304
1962-12-01,58.85700458104802
1963-01-01,56.382325965915875
1963-02-01,55.32891422315641
1963-03-01,53.44605574902369
1963-04-01,49.58518919456037
1963-05-01,45.2215569199306
1963-06-01,42.056106986523375
1963-07-01,41.60897622145909
1963-08-01,39.93144179992268
1963-09-01,40.772506432881094
1963-10-01,41.76290659077998
1963-11-01,41.28400492969343
1963-12-01,39.11978878448189
1964-01-01,36.01865035446905
1964-02-01,33.31268276485407
1964-03-01,29.60139811010122
1964-04-01,27.20693198474925
1964-05-01,25.10410238855775
1964-06-01,22.90789753319193
1964-07-01,21.721569228735834
1964-08-01,20.870163113025857
1964-09-01,22.121666880092057
1964-10-01,23.609498994172792
1964-11-01,24.251010142312644
1964-12-01,22.906946631911538
1965-01-01,21.814792263947307
1965-02-01,20.302651969877243
1965-03-01,18.355790719707468
1965-04-01,15.985733204601132
1965-05-01,13.297831543888293
1965-06-01,11.67357333258846
1965-07-01,11.965252239318543
1965-08-01,16.48245034266888
1965-09-01,23.904590864269416
1965-10-01,30.52179907846448
1965-11-01,36.21314407205856
1965-12-01,40.85614114451522
1966-01-01,41.718305712799484
1966-02-01,41.417333063676836
1966-03-01,40.67044043612598
1966-04-01,39.806429523328134
1966-05-01,37.53207227485913
1966-06-01,35.72889535868667
1966-07-01,36.5564440296121
1966-08-01,41.117729639024475
1966-09-01,46.677191300279965
1966-10-01,51.68314820046301
1966-11-01,55.71460805479394
1966-12-01,59.09975823734203
1967-01-01,58.55922813714131
1967-02-01,55.107079779992006
1967-03-01,53.19452082439652
1967-04-01,50.85416699650772
1967-05-01,46.983491387671094
1967-06-01,42.58827516154529
1967-07-01,40.91827893010495
1967-08-01,41.137268422328866
1967-09-01,40.53747924217168
1967-10-01,39.53725104631562
1967-11-01,39.99839491594981
1967-12-01,37.15060533850955
1968-01-01,33.27073194422642
1968-02-01,30.572477540864725
1968-03-01,27.746291325693495
1968-04-01,24.583695694649283
1968-05-01,21.753705303480956
1968-06-01,19.763600188672328
1968-07-01,18.805909538511177
1968-08-01,17.60598560140893
1968-09-01,18.833292224206307
1968-10-01,20.89101309486681
1968-11-01,23.733907514448006
1968-12-01,24.412433060503563
1969-01-01,22.769897890785074
1969-02-01,20.440100371230752
1969-03-01,19.4253922539768
1969-04-01,17.26113743516245
1969-05-01,13.897554700921136
1969-06-01,11.845546014287414
1969-07-01,12.108703436943275
1969-08-01,15.182312556184131
