,global_transitivity,avelocal_transmissivity,fraction_clusters_size_2,fraction_clusters_size_3,fraction_clusters_size_5,fraction_giant_component,average_path_length,hamming_distance,corrected_hamming_distance,threshold,edge_density
1953-03-01 14:17:30,0.7087997793950307,0.6710674668575319,0.0,0.0,0.0,0.12380573248407643,4.322348108136217,0.0,0.0,0.99,0.006078667874092845
1953-04-01 14:17:30,0.7051477159112023,0.6885368216522829,0.0,0.0,0.0,0.12380573248407643,3.8794875388316634,0.004269431063828708,0.002927881651941648,0.99,0.0074202172859799045
1953-05-01 14:17:30,0.7188724794208129,0.703387656413959,0.0003980891719745223,0.0,0.0003980891719745223,0.11265923566878981,4.597829115264172,0.006221352165123139,0.005222245051708787,0.99,0.008419324399394258
1953-06-01 14:17:30,0.7654957328585753,0.7301331754536148,0.0003980891719745223,0.0,0.0,0.15684713375796178,5.235623796734248,0.006496257232508174,0.006155717391249204,0.99,0.008759864240653227
1953-07-01 14:17:30,0.7659093571482715,0.7322549870890918,0.0011942675159235668,0.0,0.0003980891719745223,0.16281847133757962,5.160573385877686,0.006896090323595289,0.005675029868578256,0.99,0.009980924695670261
1953-08-01 14:17:30,0.7910287890409303,0.7461102300396586,0.0007961783439490446,0.0003980891719745223,0.0,0.22531847133757962,7.364407949213359,0.007362509417163208,0.004493603938847415,0.99,0.012849830173986054
1953-09-01 14:17:30,0.8059874260100784,0.7509730322716582,0.0011942675159235668,0.0003980891719745223,0.0,0.1859076433121019,5.4710589164117245,0.008908255903324735,0.0077480740791472935,0.99,0.014010011998163496
1953-10-01 14:17:30,0.7896348297051027,0.7430152870023428,0.002786624203821656,0.0,0.0003980891719745223,0.18471337579617833,4.820118057723416,0.009240234687121887,0.008551545175748998,0.99,0.013321322486790606
1953-11-01 14:17:30,0.7746148313102316,0.7485737647915572,0.0003980891719745223,0.0,0.0,0.19585987261146498,4.759055667159198,0.008638741131378622,0.007934514886093546,0.99,0.012617096241505529
1953-12-01 14:17:30,0.7343495388875222,0.7194331961814101,0.0,0.0,0.0,0.25636942675159236,9.02804353628518,0.008705644210061717,0.008436763590520183,0.99,0.012348215621963995
1954-01-01 14:17:30,0.7031438292661214,0.6998125229856582,0.0007961783439490446,0.0,0.0,0.2619426751592357,7.440806321797029,0.009394333721434604,0.009210429524106669,0.99,0.01253211981929193
1954-02-01 14:17:30,0.6960950395759007,0.690399909258173,0.0003980891719745223,0.0,0.0,0.27388535031847133,6.44515156229063,0.011353864651583986,0.009706970856892096,0.99,0.014179013613983821
1954-03-01 14:17:30,0.6987605767593263,0.6844626510974646,0.0,0.0,0.0,0.285828025477707,5.41370197079257,0.014482138463372625,0.011069764374332554,0.99,0.017591387703023893
1954-04-01 14:17:30,0.6877935729587474,0.6802009477674998,0.0,0.0,0.0,0.27985668789808915,5.245636866801689,0.01597968936678614,0.01564897888779815,0.99,0.017922098182011886
1954-05-01 14:17:30,0.6937421086307697,0.6809900874594847,0.0,0.0,0.0003980891719745223,0.7046178343949044,12.855975768532977,0.014113061763907597,0.011599281632156093,0.99,0.015408318050260383
1954-06-01 14:17:30,0.7075003550513362,0.6868126405792475,0.0,0.0,0.0,0.7101910828025477,13.641260392832061,0.011838991241086987,0.01019653651322715,0.99,0.013765863322400545
1954-07-01 14:17:30,0.7074821071835627,0.6910798434930434,0.0,0.0,0.0,0.7269108280254777,14.170511784729404,0.01043339243633744,0.009296674251129426,0.99,0.012629145137192531
1954-08-01 14:17:30,0.673958473450018,0.6648011539139285,0.0,0.0,0.0,0.6990445859872612,13.954597173306023,0.009666068026796744,0.00875827885964178,0.99,0.011721355970037567
1954-09-01 14:17:30,0.6709658466469596,0.6679616420990561,0.0,0.0,0.0,0.4534235668789809,8.744324029491056,0.009075355061931323,0.00903603761284742,0.99,0.011682038520953664
1954-10-01 14:17:30,0.6934345177600082,0.6641081440163407,0.0,0.0,0.0,0.44187898089171973,9.156210643921359,0.009039208374870315,0.008634619140748858,0.99,0.011277449286832206
1954-11-01 14:17:30,0.6947137625289129,0.6460692528574146,0.0,0.0,0.0,0.43869426751592355,9.85549705972929,0.008419324399394258,0.007906612180292065,0.99,0.010764737067730012
1954-12-01 14:17:30,0.693173115013865,0.6355537405466635,0.0,0.0,0.0,0.7448248407643312,20.2705789943015,0.008269347355711304,0.008193249067161812,0.99,0.010840835356279504
1955-01-01 14:17:30,0.6974647588493835,0.6344868909576122,0.0,0.0,0.0,0.4140127388535032,11.88732282057539,0.008282981632409753,0.007636463255941374,0.99,0.010194316979811125
1955-02-01 14:17:30,0.7098513562252362,0.6503587570586863,0.0,0.0,0.0,0.23964968152866242,8.539688908662038,0.0071586294190910315,0.0071050435409040985,0.99,0.010140731101624192
1955-03-01 14:17:30,0.724980329646082,0.6580775821114022,0.0,0.0,0.0,0.9164012738853503,25.26741940080322,0.006113229180142405,0.005737810956631585,0.99,0.010516149325135012
1955-04-01 14:17:30,0.7243138477121764,0.6485634536600161,0.0007961783439490446,0.0,0.0,0.46695859872611467,11.479092941102104,0.005644907629360749,0.005181025145411146,0.99,0.010052266841185408
1955-05-01 14:17:30,0.7455132901950052,0.6268063675926078,0.0003980891719745223,0.0,0.0003980891719745223,0.34355095541401276,9.792509552746886,0.005203854631975993,0.004107405124458751,0.99,0.008955817333668166
1955-06-01 14:17:30,0.7624057440169524,0.607609245850349,0.0003980891719745223,0.0,0.0,0.8738057324840764,23.621638393160637,0.0044574572517864074,0.003227201586902977,0.99,0.0077255616687847365
