,ZC_oni
1965-01,3.550514891754183
1965-02,3.072640919984334
1965-03,2.3446131738811253
1965-04,1.503297229892297
1965-05,0.5436873944212586
1965-06,-0.4248229205344174
1965-07,-1.147986225405372
1965-08,-1.4846216487702968
1965-09,-1.581538555781897
1965-10,-1.666864380919833
1965-11,-1.7744055757694284
1965-12,-1.9636187717848692
1966-01,-2.2638389809918777
1966-02,-2.610685129591854
1966-03,-3.186133457971483
1966-04,-3.863706394395866
1966-05,-4.360676072007347
1966-06,-4.301382877025677
1966-07,-3.6895460137745957
1966-08,-2.775062270487428
1966-09,-1.7053238601383782
1966-10,-0.46394683792021496
1966-11,0.7655913840508646
1966-12,1.7864545624288652
1967-01,2.4643643937883226
1967-02,2.83890494171553
1967-03,2.846830965540917
1967-04,2.565547859190797
1967-05,2.1908224221675674
1967-06,1.9703721270765016
1967-07,2.0589011498999987
1967-08,2.4335396228443003
1967-09,2.829345996280889
1967-10,3.1001401813620895
1967-11,3.218066798821301
1967-12,3.3009843741940053
1968-01,3.3013325785435335
1968-02,3.215065825528985
1968-03,2.896219354000994
1968-04,2.378752030821566
1968-05,1.8210409108167447
1968-06,1.4279115053873497
1968-07,1.2491130932428014
1968-08,1.3962115585363222
1968-09,1.7043177384622936
1968-10,1.9679235352780182
1968-11,2.0643445186164158
1968-12,2.0440032927068934
1969-01,2.0055339666927523
1969-02,1.865438319189881
1969-03,1.3612632931366733
1969-04,0.42587470755822565
1969-05,-0.8115128290425311
1969-06,-1.7298100675849568
1969-07,-1.9976546359204583
1969-08,-1.734935209875676
1969-09,-1.3069510468873702
1969-10,-0.9658793437206015
1969-11,-0.7163471432308981
1969-12,-0.42119552183107345
1970-01,-0.24583778537272494
1970-02,-0.1603411111505899
1970-03,-0.29771478814104313
1970-04,-0.7004216852004639
1970-05,-1.3909781442286793
1970-06,-1.860604501489302
1970-07,-1.8459241945249438
1970-08,-1.5382334235897765
1970-09,-0.9014461522386696
1970-10,-0.07204605412529475
1970-11,0.7257552038031214
1970-12,1.4376824904750478
1971-01,2.059977579573083
1971-02,2.450125494311024
1971-03,2.5167479524305207
1971-04,2.3244902229250393
1971-05,2.002437558437773
1971-06,1.7893403869807898
1971-07,1.8374037656439874
1971-08,2.0629300260727135
1971-09,2.371434195421635
1971-10,2.650736050526458
1971-11,2.791050835873307
1971-12,2.8736144950835794
1972-01,2.944409140691601
1972-02,2.866332755805036
1972-03,2.5747585281001513
1972-04,2.1530213302836607
1972-05,1.6247415299181363
1972-06,1.1852071889217868
1972-07,1.005918227344079
1972-08,1.000994712124129
1972-09,1.0621145966461647
1972-10,1.1600796057522658
1972-11,1.2472519229625334
1972-12,1.2494478369146336
1973-01,1.193253142248711
1973-02,0.9950843310075825
1973-03,0.45019614968995114
1973-04,-0.539135860801867
1973-05,-1.7134014520053178
1973-06,-2.5182020222967196
1973-07,-2.7028545447118084
1973-08,-2.359686141240971
1973-09,-1.7623538754180323
1973-10,-1.2566577427265138
1973-11,-0.8502579461869715
1973-12,-0.22606872292987035
1974-01,0.5884063093541236
1974-02,1.2039738188505744
1974-03,1.4813121236813878
1974-04,1.5033057544439465
1974-05,1.4082666133706674
1974-06,1.3954171677274694
1974-07,1.6202957981763895
1974-08,2.051597400713561
1974-09,2.5096829796288525
1974-10,2.8415653817138846
1974-11,3.004516615887251
1974-12,3.1150804701670083
1975-01,3.148361550588188
1975-02,3.1405009873166776
1975-03,2.9224743825674153
1975-04,2.5217042472542275
1975-05,2.0706180950004303
1975-06,1.7463453083298859
1975-07,1.6306207651189126
1975-08,1.7160377695177118
1975-09,1.84063521445767
1975-10,1.935170077621187
1975-11,2.04069724756895
1975-12,2.122477734432344
1976-01,2.1257223666128517
1976-02,1.996006932691138
1976-03,1.6225951258619027
1976-04,0.9218739842112385
1976-05,-0.028868244288904776
1976-06,-0.8135923093728223
1976-07,-1.171683427150402
1976-08,-1.2476224422182085
1976-09,-1.202393235659187
1976-10,-1.0744044454613544
1976-11,-0.9622951950743293
1976-12,-0.8627809387898573
1977-01,-0.5570830985653608
1977-02,-0.2214745181058646
1977-03,-0.2827046703958054
1977-04,-0.7232750482272188
1977-05,-1.3244308483472764
1977-06,-1.7178574596239145
1977-07,-1.6278319742119542
1977-08,-1.146078677920471
1977-09,-0.4265414123559701
1977-10,0.3356601561610191
1977-11,1.0188246689778282
1977-12,1.651022240907018
1978-01,2.190234245592169
1978-02,2.535252375586886
1978-03,2.592957734444756
1978-04,2.410280609482072
1978-05,2.130392263095157
1978-06,1.9713792148649496
1978-07,2.0794080610817964
1978-08,2.3337259017955496
1978-09,2.564484438726293
1978-10,2.7356198294311795
1978-11,2.8171575623486795
1978-12,2.8753988734592077
1979-01,2.92331777145872
1979-02,2.886044286486513
1979-03,2.6434116193499726
1979-04,2.1867984837284737
1979-05,1.6833132578197052
1979-06,1.32192716210524
1979-07,1.0865895302235629
1979-08,0.8849910413748177
1979-09,0.8012831101552926
1979-10,0.8477996170732673
1979-11,0.8909195324382289
1979-12,0.9158388413296983
1980-01,0.715721463267375
1980-02,0.2664371008769493
1980-03,-0.5279475188462612
1980-04,-1.653340504230286
1980-05,-2.7486458856226506
1980-06,-3.461697986201319
1980-07,-3.6529628403490157
1980-08,-3.448932309302755
1980-09,-3.0291536503765
1980-10,-2.5794450660399555
1980-11,-2.0270831053129506
1980-12,-1.0914909479609989
1981-01,0.1270282407775234
1981-02,1.0948710195208626
1981-03,1.6033264237574656
1981-04,1.721794912160476
1981-05,1.6563778284693313
1981-06,1.593553251548709
1981-07,1.7440971489057944
1981-08,2.0838658735996596
1981-09,2.3895649343184147
1981-10,2.612003971467029
1981-11,2.7805216233089602
1981-12,2.9375165940159604
1982-01,3.120008457331423
1982-02,3.134600240873592
1982-03,2.9394494645090283
1982-04,2.5592093888081493
1982-05,2.146135752463369
1982-06,1.87282404082438
1982-07,1.8138780413172384
1982-08,1.9181995627481072
1982-09,2.1080288776717566
1982-10,2.274986045788271
1982-11,2.385190284247628
1982-12,2.4906334448320777
1983-01,2.6414889925766154
1983-02,2.648954603985274
1983-03,2.4708313689389136
1983-04,2.081934080911015
1983-05,1.6607566948630073
1983-06,1.3843395633861242
1983-07,1.2038924489825078
1983-08,1.1410544750509075
1983-09,1.1522807991520594
1983-10,1.155299866817522
1983-11,1.1072634784719142
1983-12,1.1166155112886322
1984-01,1.237552651715415
1984-02,1.1220684911317598
1984-03,0.661423027009512
1984-04,-0.11014449324232345
