,global_transitivity,avelocal_transmissivity,fraction_clusters_size_2,fraction_clusters_size_3,fraction_clusters_size_5,fraction_giant_component,average_path_length,hamming_distance,corrected_hamming_distance,threshold,edge_density
1949-12-01,0.6414919566492728,0.37203513240294384,0.008287292817679558,0.007596685082872928,0.0027624309392265192,0.6795580110497238,24.799853293480094,0.0,0.0,0.97,0.005353045164886773
1950-01-01,0.6236663327962374,0.3907215637009508,0.008977900552486187,0.006215469613259668,0.0020718232044198894,0.6954419889502762,17.323110349482498,0.0014823964231578384,0.0013726246339349464,0.97,0.005462816954109665
1950-02-01,0.6110125908849087,0.4060434041704576,0.008977900552486187,0.0027624309392265192,0.0006906077348066298,0.7292817679558011,17.669526762495355,0.0019921193400710938,0.001838438835159045,0.97,0.005309136449197616
1950-03-01,0.6127885767887853,0.4250409512955546,0.0027624309392265192,0.003453038674033149,0.006215469613259668,0.7790055248618785,16.488029457262183,0.0021305272482216972,0.0017964391940650689,0.97,0.005643224503354244
1950-04-01,0.6251028414552824,0.41124486167597196,0.004834254143646409,0.004143646408839779,0.0027624309392265192,0.75,16.85750319955037,0.0016255770177963933,0.0015635320934530195,0.97,0.0057052694276976176
1950-05-01,0.6260697074119757,0.38814362603087865,0.008977900552486187,0.006906077348066298,0.003453038674033149,0.6443370165745856,17.14407225631439,0.0018794839389554307,0.0010557182511349448,0.97,0.0048815037398771315
1950-06-01,0.632340359337326,0.3880898295865863,0.004143646408839779,0.006906077348066298,0.0020718232044198894,0.630524861878453,24.001996646186473,0.0017534850156735024,0.0014127152004337418,0.97,0.005222273555116893
1950-07-01,0.6368132055523344,0.3908995551842571,0.006906077348066298,0.0055248618784530384,0.0027624309392265192,0.6270718232044199,15.047376677625575,0.001335397679328922,0.0012943525755325363,0.97,0.0052633186589132784
1950-08-01,0.6301468693635661,0.4102075150216079,0.010359116022099447,0.004143646408839779,0.0006906077348066298,0.8169889502762431,24.730442661773132,0.001502441706407236,0.0010175367592313302,0.97,0.005748223606089183
1950-09-01,0.6281168454624528,0.3992579556937938,0.007596685082872928,0.0027624309392265192,0.0006906077348066298,0.7589779005524862,27.639395763634628,0.0016255770177963933,0.0011378084587277163,0.97,0.005260455047020507
1950-10-01,0.6312452961269033,0.37447364262928645,0.008287292817679558,0.0020718232044198894,0.0020718232044198894,0.8093922651933702,26.218206148218904,0.0014346695582783202,0.000897265059734944,0.97,0.004723050548477131
1950-11-01,0.6298422072529298,0.37604963879644593,0.008977900552486187,0.0027624309392265192,0.004143646408839779,0.7817679558011049,30.068839992014574,0.0014327604836831395,0.001019445833826511,0.97,0.004309735898620502
1950-12-01,0.5995782567947516,0.391583985329541,0.003453038674033149,0.006215469613259668,0.0,0.6636740331491713,24.81959963053296,0.0012943525755325363,0.0010519001019445833,0.97,0.00406728342503255
1951-01-01,0.5919834072930735,0.3832650648005256,0.004834254143646409,0.006906077348066298,0.0006906077348066298,0.42748618784530384,17.1300613269426,0.0012953071128301266,0.0011931716219879575,0.97,0.003965147934190381
1951-02-01,0.6092937311798522,0.3688677534524139,0.0055248618784530384,0.006215469613259668,0.0020718232044198894,0.48204419889502764,18.983247624392497,0.0008543108813433776,0.0007960841061903653,0.97,0.003906921159037368
1951-03-01,0.6128958285559424,0.3897247674318633,0.009668508287292817,0.006906077348066298,0.0,0.574585635359116,20.747921348160087,0.0010633545495156679,0.0008323565234987992,0.97,0.004137919185054237
1951-04-01,0.6116400722565106,0.3926892757515456,0.008287292817679558,0.006215469613259668,0.0006906077348066298,0.511049723756906,16.661514384724043,0.0011845807863096443,0.0008877196867590404,0.97,0.004434780284604841
1951-05-01,0.6421708813984126,0.4064069115611159,0.007596685082872928,0.004143646408839779,0.0013812154696132596,0.6871546961325967,19.167356990932497,0.002271798768265071,0.001468078363693983,0.97,0.005238500689175929
1951-06-01,0.6902384270010837,0.41640155017773683,0.007596685082872928,0.003453038674033149,0.0013812154696132596,0.8024861878453039,17.58331902243751,0.0027395220440843506,0.0010442638035638606,0.97,0.006933758929696419
1951-07-01,0.6623070652714175,0.4333207251675062,0.007596685082872928,0.004834254143646409,0.0020718232044198894,0.7776243093922652,13.883077034433166,0.0030659737998602558,0.0016150771075228994,0.97,0.008384655622033776
1951-08-01,0.6373256002282911,0.4317136944582452,0.013812154696132596,0.0027624309392265192,0.0020718232044198894,0.694060773480663,10.602829721897162,0.002813021415998809,0.002735703894893989,0.97,0.008461973143138596
1951-09-01,0.6220612259393423,0.43329392700161534,0.011049723756906077,0.004834254143646409,0.0020718232044198894,0.7009668508287292,10.695127066632903,0.0033532895264349557,0.002878884489532544,0.97,0.008936378180041006
1951-10-01,0.6224756767035111,0.4480129620658575,0.008977900552486187,0.006215469613259668,0.0013812154696132596,0.6975138121546961,9.424233389455305,0.0023347982299060355,0.0018613477303012138,0.97,0.00940982867964583
1951-11-01,0.6190736923473331,0.43986639898184177,0.008287292817679558,0.004143646408839779,0.0020718232044198894,0.7486187845303868,11.12440688949696,0.0036291508054385716,0.0031366095598819427,0.97,0.0089172874340892
1951-12-01,0.6071072391406456,0.42509767682267907,0.004834254143646409,0.004834254143646409,0.0013812154696132596,0.7292817679558011,11.41863118478881,0.0031480640074530272,0.0012008079203686805,0.97,0.006970031347004853
1952-01-01,0.644102385767756,0.44465029465380584,0.004834254143646409,0.006215469613259668,0.0006906077348066298,0.8411602209944752,22.82349213881841,0.0026994314775855553,0.0018327116113735027,0.97,0.0061033114807928
1952-02-01,0.6131300296484541,0.43285567987051116,0.003453038674033149,0.007596685082872928,0.0006906077348066298,0.5145027624309392,21.227654935337856,0.0023462526774771196,0.0013191705452698858,0.97,0.0050762293485855665
1952-03-01,0.5938811454913131,0.41361833282074545,0.006906077348066298,0.0013812154696132596,0.0,0.24654696132596685,11.347926283037577,0.0015816683021072366,0.0008514472694506065,0.97,0.004346008315928936
1952-04-01,0.6025842091711336,0.38902066346405534,0.009668508287292817,0.003453038674033149,0.0013812154696132596,0.3404696132596685,14.638971850134842,0.0013077160976988015,0.0011091723398000053,0.97,0.00414746455803014
1952-05-01,0.5923857868020305,0.35198451359854765,0.012430939226519336,0.004143646408839779,0.0006906077348066298,0.44751381215469616,19.51378246388361,0.0015845319140000075,0.0009507191484000046,0.97,0.0035136517924301376
