,global_transitivity,avelocal_transmissivity,fraction_clusters_size_2,fraction_clusters_size_3,fraction_clusters_size_5,fraction_giant_component,average_path_length,hamming_distance,corrected_hamming_distance,threshold,edge_density
1951-12-01,0.6765674915128634,0.6174831223837071,0.0015923566878980893,0.0015923566878980893,0.0,0.3626592356687898,10.919683834276597,0.0,0.0,0.99,0.004258333396748574
1952-01-01,0.6718064073376107,0.6178245276357777,0.0015923566878980893,0.0007961783439490446,0.0,0.4406847133757962,14.846513580862956,0.002066702686523247,0.0019271891575158475,0.99,0.004118819867741174
1952-02-01,0.6807869761660013,0.6333875375673348,0.0011942675159235668,0.0007961783439490446,0.0,0.4721337579617834,13.809083839106766,0.002218265111217649,0.00161264956484462,0.99,0.004724435414114203
1952-03-01,0.6867363119112023,0.6396463325402177,0.0007961783439490446,0.0003980891719745223,0.0,0.38654458598726116,10.948369864382608,0.0026862695857970153,0.0015498684767912903,0.99,0.005860836523119929
1952-04-01,0.6846819821265374,0.6383436295736268,0.0003980891719745223,0.0003980891719745223,0.0003980891719745223,0.3877388535031847,11.169790553718308,0.003218957605643449,0.0027883681229342486,0.99,0.006291426005829129
1952-05-01,0.6896775069732457,0.6355853175667684,0.0,0.0,0.0007961783439490446,0.38972929936305734,11.841966095579894,0.0030290289604720123,0.002582902743850624,0.99,0.005845299789207741
1952-06-01,0.6941841965706205,0.6289205516946589,0.0,0.0,0.0011942675159235668,0.38455414012738853,15.293280516690682,0.0027531726644801093,0.0024985604740416054,0.99,0.005590687598769237
1952-07-01,0.7136538933381986,0.6230485834218158,0.0,0.0,0.0011942675159235668,0.47571656050955413,23.882677239243655,0.0028058073140601733,0.0025784636770185706,0.99,0.00581803123581084
1952-08-01,0.7218095799146104,0.6258797899796605,0.0003980891719745223,0.0,0.0007961783439490446,0.28144904458598724,10.466814904815921,0.0032490798448609557,0.003107980934842109,0.99,0.005959130145829687
1952-09-01,0.7191538225162135,0.625414762272804,0.0,0.0003980891719745223,0.0003980891719745223,0.3375796178343949,12.73218138932317,0.0033445197817501084,0.002776319227247246,0.99,0.005390929591326824
1952-10-01,0.6846893036617042,0.6174551683577795,0.0011942675159235668,0.0003980891719745223,0.0,0.3487261146496815,13.517107103069016,0.003077858695624602,0.002392657022476898,0.99,0.00470572791817912
1952-11-01,0.6734454100225913,0.619487394485815,0.0003980891719745223,0.0007961783439490446,0.0,0.20262738853503184,8.374516307352128,0.0026291958693848974,0.002326705172400673,0.99,0.004403237221194895
