,loss,dropout,noise_in,noise_sigma,noise_mu,l1_hidden,l2_hidden,l1_mu,l2_mu,l1_sigma,l2_sigma,lr
0,0.30403328835964205,0.42906762674247,0.32309054310425867,0.1235623639464924,0.2665093127294712,0.14760118365927513,0.007251018783834851,0.12110204802937355,0.041140258027727875,0.17693769180813615,0.07795175010924185,0.005307174593967908
1,0.3804187968373299,0.20833078799868343,0.26964918199634624,0.3657814429227031,0.3028978976771938,0.09499409799740746,0.02746080782833569,0.005470918068575182,0.08020097764676276,0.010712438527310787,0.01783866475893543,0.0076259201303716375
2,0.9579706706106663,0.36436493884244947,0.44003612185495555,0.2736084706666376,0.48348933751008394,0.19065558208777947,0.07608051375459957,0.024222756707152106,0.19619792362046018,0.11912074397325284,0.14709040719590766,0.009513582695499177
3,0.35714280903339385,0.3449438573883242,0.2655885483209903,0.10764156759398298,0.43366828710880967,0.19287163513493674,0.08012678039563864,0.07259718468563336,0.07807569781364679,0.17828335449479857,0.16493336964457084,0.004332290065066918
4,0.9804197072982788,0.10928929733657938,0.44417024610741906,0.22350477979650926,0.2705191814849919,0.1608036628676824,0.038133852369593525,0.1342916829300441,0.1399075528830371,0.1349467521726012,0.011152955618088446,0.0034890073587653513
5,0.3759811282157898,0.42661391097635126,0.44999402824017376,0.2043483403000159,0.3950768823226667,0.10363566821411203,0.04757241248935454,0.18223960260458374,0.06430891232065257,0.15614608920438774,0.1153486682830741,0.008628524740855823
6,0.8707135140895843,0.32023770694086107,0.16689198848050527,0.41409230013797826,0.23251064121558446,0.17183016642684057,0.05973835666447152,0.02666207817648596,0.07585310942950448,0.1863583363503591,0.12350754623276756,0.0076222953860179046
7,4.112766408920288,0.18606378092138037,0.3271387554684129,0.4278201772190572,0.481978892056966,0.1688525910968404,0.008175843352734625,0.06809451265381375,0.026440889002131353,0.06417420196678006,0.09540629912295993,0.0005025982506011973
8,0.538529634475708,0.22305778360442644,0.2618193479524169,0.4242597675459555,0.24153193223789807,0.07831406414819704,0.161404230040093,0.12158366924722364,0.03676276237067733,0.19598455658605515,0.10420444305020884,0.006403267567595622
9,0.6337782502174377,0.2850553107019351,0.22200532052734376,0.27455591602850393,0.25078323536437963,0.19446439542367028,0.14654335348749906,0.07720206194755182,0.13151164654029576,0.04330495703149138,0.14102153339566226,0.007898465513184882
10,0.36526445858180523,0.3931016198328141,0.33077774402571586,0.3224649178909701,0.4629390832005261,0.08539264386754807,0.11840469902587591,0.033262847123566974,0.0367441212080097,0.07826429307776833,0.12513701783535686,0.009921929034162148
11,3.884398913383484,0.10125897675182052,0.12824818907892688,0.31719008997061116,0.3480805421915658,0.07680785608260761,0.09161929743545633,0.05644319086264123,0.13323697126775064,0.004174444864699023,0.17150543076688807,0.0005391967185843694
12,1.8485193610191346,0.2436578864630528,0.4120183137418564,0.35767008589623717,0.4795729287253002,0.11367009056114763,0.07926270234643998,0.17981283937729897,0.05913748110013659,0.09380149772588223,0.04648435511757359,0.0025123401283073826
13,3.7445478081703185,0.43880937272065534,0.2949001507699679,0.2801904408995995,0.27057714594625093,0.12174734940669546,0.029377768633148872,0.1658840879430077,0.17798835808582028,0.15525661871767102,0.07048870797055602,0.0006263787679137172
14,1.3498262405395507,0.1695749701103917,0.18832202309318893,0.45723462668713755,0.19615256967133507,0.16030885632573413,0.1402099469442024,0.07353799849751022,0.01927890696371941,0.11094205439329646,0.07910895651651438,0.005539475639923317
15,1.0682262539863587,0.4265742946152412,0.28574882538624224,0.31320054322021007,0.2604472197245658,0.1469918328328556,0.13317457646534572,0.16168372777458814,0.11500826515768506,0.13958895370609684,0.18432933108792487,0.007394027971601697
16,2.861875128746033,0.42246071903332705,0.1292617580088707,0.28822263296012324,0.47282629269880927,0.12089765476369602,0.17404333451741125,0.04213973723950307,0.15098237642743634,0.18127725457329252,0.07343941502171994,0.0012295270188074526
17,0.6334659188985825,0.24823008900317545,0.41491886782560716,0.28622977464019234,0.36188024626930615,0.15546105827746495,0.05382779335102442,0.17886591423119344,0.15578778192100945,0.10737964447565013,0.04023656420209201,0.008301337685514124
18,0.21123339235782623,0.1830311489020433,0.23782261413122355,0.10824046169375628,0.278293099845091,0.06933573038349357,0.1716538067035315,0.007675790983790365,0.012030734667862043,0.1881910498844119,0.1444954130849465,0.0027917734144513994
19,0.30909082740545274,0.2647348353475927,0.2755152120147528,0.4646858830883912,0.38010285444983527,0.1428851905625192,0.01846544087637647,0.09542916947895855,0.04690468667065087,0.02907850623084887,0.14315379395474695,0.009178497417005644
